afsosnak,افسوسناڪ
payarinday,پياريندي
farmaeen,فرمائين
kalamh,ڪلمه
maadern,ماڊرن
charhendo,چڙهندو
yibrahim,ابراھيم
alqaloob,القلوب
likhaniyoon,لکڻيون
karra,ڪرڙا
cript,اسڪرپٽ
flatila,فلاٽيلا
arrhen,ارڙهن
ghasalkhanan,غسلخانن
fawaid,فوائد
almuash,المعاش
kharchao,خرچائو
bandatoonsa,بندتونسا
noonan,نونان
darsatgiyoon,درستگيون
himayatan,حمايتن
daga,دغا
alama,علاما
dilpat,دلپت
wahshi,وحشي
terath,تيرٿ
uchhleenda,اُڇليندا
nimanan,نماڻن
latare,لتاڙي
aabadkaria,آبادڪاريءَ
safton,صفتون
milkiyatoon,ملڪيتون
pataeen,پاتائين
khutki,کٽڪي
yakbro,يڪبرو
qadwai,قدوائي
faruq,فاروق
naib,نائب
yolo,يولو
ulternative,الٽرنيٽو
lataeenda,لٽائيندا
senmaen,سينمائن
wekrae,ويڪرائي
socialzam,سوشلزم
dedhh,ڏيڍ
belat,بيلٽ
zabil,زابل
diyaran,ڏيارڻ
askoparpola,آسڪوپارپولا
tehria,تهڙيءَ
chawaraendar,چورائيندڙ
kalji,ڪلجي
ero,ايرو
washwanath,وشواناٿ
maaneetring,مانيٽرنگ
murliyoon,مُرليون
masnuaat,مصنوعات
sanbhalaniyoon,سنڀالڻيون
chhaten,ڇاتين
tarwanat,تروانت
salangi,سلنگي
treatoon,ٽريٽون
veraan,ويران
budhaeenda,ٻڌائيندا
yadashti,ياداشتي
puhchayo,پهچايو
shikshaoon,شڪشائون
verhak,ويڙهاڪ
somariyoon,سومريون
salak,سالڪ
sharm,شرم
dane,ڊين
lagraen,لڳرائڻ
sarkeen,سرڪين
naghma,نغما
saango,سانگو
heward,هيورڊ
chhalki,ڇلڪي
burteriea,برتريءَ
galhayondr,ڳالهائيندڙ
garkaendo,ڳڙڪائيندو
bawalpur,باولپور
sooratkhatia,صورتخطيءَ
padharnamo,پڌرنامو
bunaen,بنائين
khach,کچھ
moloodi,مولودي
rachiyal,رچيل
saramik,سرامڪ
azimat,عزيمت
cyrenaica,سائرينائڪا
charhel,چڙھيل
burbadia,برباديءَ
kaella,ڪئالا
medona,ميڊونا
kathyun,ڪاٺيون
bararbaria,براربريءَ
midliyoon,مڊليون
hekraeea,هيڪڙائيءَ
phhoroo,ڦورو
disendaseen,ڏسنداسين
eidoon,عيدون
machaq,مچق
cheeho,چيھو
farokht,فروخت
intefic,انٽيفڪ
dhanan,ڌنن
takhatgahh,تختگاهه
walhaseeni,والحسيني
mahfilun,محفلون
stanilief,اسٽانيليف
shumaryat,شماريات
sarmaikaran,سرمائيڪارن
spinal,اسپائنل
urjee,اڙجي
practitioner,پريڪٽيشنر
utahoon,اُتاهون
alniyal,النيل
jadooie,جادوئي
jadogir,جادوگر
kunbh,ڪنڀ
warsayal,ورسايل
alaqtisad,الاقتصاد
shaeraa,شعراءِ
swamee,سوامي
abdulhaseen,عبدالحسين
shortickt,شارٽڪٽ
rangani,رنگاڻي
amarati,عمارتي
karhuzari,ڪارگذاري
philpaine,فلپائن
friedrik,فريڊرڪ
parhandeen,پڙهندين
toqeer,توقير
phulji,ڦلجي
mareeya,ماريا
phasai,ڦاسائي
pako,پڪو
langhandiyoon,لنگھنديون
sikhlaniyen,سکلاڻين
aakhji,آکجي
matjandiyoon,مٽجنديون
haneear,هنيئر
zological,زولاجيڪل
thahando,ٺهندو
poan,پوان
vadhandyoon,وڌنديون
khedayo,کيڏايو
khanaya,کڻايا
babiho,ٻاٻيهو
charya,چريا
bandobust,بندوبست
andiyo,آنديو
nobiya,نوبيا
kaweendi,ڪويندي
azo,عضو
chuman,چمان
softwere,سافٽويئر
dilpazeer,دلپزير
tingi,تنگي
panmuradan,پاڻمرادن
sehnji,سهنجي
shagafi,شگافي
gujranwalah,گجرانواله
barahan,ٻارنهن
aajyani,آجياڻو
tajnees,تجنيس
aire,ايري
burawahi,براوهي
healder,هيلڊر
layaah,ليه
adheepoor,اڌيپور
salamia,سلاميءَ
hado,هڏو
manjhan,منجهن
rasaendyoun,رسائينديون
kangryan,ڪنگرين
hanae,هڻائي
judann,جڙڻ
iska,اسڪا
gurmukhi,گرمکي
sarqosa,سرقوسه
numaindagi,نمائندگي
charanan,چرنن
sobedaria,صوبيداريءَ
chhanwaniyen,ڇانوڻين
stalinist,اسٽالنسٽ
tarafdaria,طرفداريءَ
chhori,ڇوري
azmatan,عظمتن
hajirah,هاجره
kapah,ڪپھ
santiko,سانتيڪو
uthiyo,اٿيو
zarbab,زرباب
hereen,هيرين
khatoli,کٽولي
parahaeendar,پڙهائيندڙ
wilola,ولولا
sagharyoon,سگهاريون
nanharan,ننهرن
tarqiwaltiar,ترقيوالٽيئر
gap,گپ
arshag,ارشگ
bharkae,ڀڙڪائي
dhhori,ڍوري
jareji,جاڙيجي
deverset,ڊورسيٽ
gorganj,گورگنج
sirmod,سرموڙ
sarkae,سرڪائي
sahiti,ساهتي
noshut,نوشت
wechhore,وڇوڙي
kampun,ڪيمپن
bazan,بازن
bulaoon,بلائون
nanano,ناناڻو
hasaan,حسان
girhasti,گرهستي
courses,ڪورسز
ghoshi,غوثي
wasskti,واسڪوٽي
azali,ازالي
chaq,چاق
aabadjo,آبادجو
pajni,پڄڻي
larkaeendo,لڙڪائيندو
behje,بيهجي
manjaen,مڃائڻ
vemo,ويمو
khanjoon,کنجون
mundun,مندون
beshtar,بيشتر
chatkiyen,چٽڪين
zahiree,ظاهري
silan,سلڻ
wejhotreen,ويجهوترين
koper,ڪوپر
manjendaran,مڃيندڙن
thabeti,ٿٻيٽي
regulator,ريگيوليٽر
apeeloon,اپيلون
darzee,درزي
aalocho,آلوچو
kuhandy,ڪهندي
altaeleem,التعليم
shualo,شعلو
anyo,اڻيو
kanhh,ڪانھ
surhandi,سرهندي
bharoso,ڀروسو
banho,ٻانهو
mulikee,مُلڪي
personaal,پرسنل
suran,سُرن
arjandas,ارجنداس
khaarnaaz,خارناز
alversengely,الورسنجلي
musjadangrezi,مسجدانگريزي
phokar,ڦوڪر
tajledar,تجليدار
wilan,ولڻ
jodhon,جوڌن
jambo,جمبو
socheende,سوچيندي
chopayah,چوپايه
zimedariyen,ذميدارين
nebola,نيبولا
khudro,خودرو
adminstration,ايڊمنسٽريشن
neepa,نيپا
nibhayo,نڀايو
gandari,گندري
nawazeendo,نوازيندو
vopen,اوپن
lodee,لوڏي
alzaman,الزامن
jedo,جيڏو
aaeon,آئون
mauhan,موھن
kashadi,ڪشادي
tareenda,تريندا
shaftaloa,شفتالوءَ
mandran,مندرن
hethaeen,هيٺائين
tems,ٽيمز
shopan,شوپن
chirstian,ڪرسچن
mutalban,مطالبن
patasha,پتاشا
phura,ڦر
samohiyal,سموهيل
judii,جودي
mandor,منڊور
sebaeto,سيبائتو
jeeandal,جيئندل
amrott,امروٽ
abadat,عبادت
deenwa,دينوا
stemford,اسٽيمفورڊ
toreenda,ٽوڙيندا
habkando,ھٻڪندو
aasheerwad,آشيرواد
phitayo,ڦٽايو
washandas,وشنداس
puhchan,پهچن
hakhamanshi,هخامنشي
idra,ادرا
thanj,ٿڃ
kashalan,ڪشالن
kafalit,ڪفالت
baqae,بقاءِ
youni,يوني
chhokaran,ڇوڪرن
karyan,ڪارين
minna,مِنَ
ghazi,غازي
portoriko,پورٽوريڪو
salikaan,سليڪان
franc,فرينڪ
ropeh,روپيه
jadoa,جادوءَ
hamthaendi,ھمٿائيندي
rahbaran,رهبرن
kakhavan,ڪکاوان
clotting,ڪلاٽنگ
topee,ٽوپي
ropalo,روپلو
artimas,آرٽيمس
pakokari,پڪوڪري
kharky,کڙڪي
darargaah,دررگاهه
phhathki,ڦٿڪي
mukhlisanah,مخلصانه
fott,فوت
mewedar,ميويدار
mawali,موالي
cantic,ڪئنٽڪ
germanism,جرمنزم
satheen,سٿين
aamri,آمري
ameerbakhsh,اميربخش
phelowship,فيلوشپ
otawa,اوٽاوا
manjian,مڃين
blaick,بليڪ
khojnaen,کوجنائن
tabdeeliyan,تبديلين
kayaeens,ڪيائينس
sumerian,سميرين
samjhaoon,سمجهائون
namairee,نامياري
freeka,فريڪا
jarreja,جاڙيجا
hindvia,هندويءَ
dighera,ڊگهيرا
aqdus,اقدس
khaskhellii,خاصخيليءَ
chuhkan,چهڪن
naamiati,نامياتي
vichan,وچڻ
sukunu,سڪون
apra,اپرا
munjhaun,منجهائن
jesangh,جيسنگهه
transparanci,ٽرانسپيرنسي
garseeh,گرسيه
katarpino,ڪٽرپڻو
dorande,ڊوڙندي
kathiyoon,ڪاٺيون
nomaslam,نومسلم
pukhar,پکار
apase,اسپيس
hawelyun,حويليون
menga,مينگا
parteez,پارٽيز
chunbrae,چنبڙائي
daro,دڙو
anteli,انٽيلي
virin,ويرين
sinbhari,سنڀاري
araria,آراڙيءَ
poniyen,پوڻين
qeendo,قيندو
dokareea,ڏوڪريءَ
parhyaeen,پڙهيائين
sukhriyoon,سکريون
dhariyaan,ڌاريان
ujrat,اُجرت
meshiat,معشيت
khethri,کيٿري
famis,فيمس
tajib,تعجب
rasaeji,رسائجي
obreendi,اوڀرندي
artimeta,آرٽيميٽا
swaka,سواڪا
wirhayo,وڙهيو
sorakarta,سوراڪارتا
pandrani,پندراڻي
suljhaye,سلجهائي
bulgha,بلغا
pahlodari,پهلوداري
halakhi,هلاکي
vithan,وٿان
zabania,زبانيءَ
wahae,وهائي
pardadi,پڙڏاڏي
raqeeqan,رقيقن
badhrae,ٻڌرائي
raajhhdhaania,راڄڌانيءَ
kaleed,ڪليد
libreriyun,لائبريريون
sadran,صدرن
shardhanand,شرڌانند
jaami,جامي
treboon,ٽريبون
pacharyun,پڇاڙيون
ghatyoon,گهٽيون
peerhiyoon,پيڙھيون
cam,ڪيم
chennalan,چينلن
bharau,ڀراءُ
devizan,ڊويزن
abadgari,آبادڪاري
hikarya,هڪڙيءَ
nibahan,نباهڻ
champanezi,چمپنيزي
sapai,سپائي
chawein,چوين
baagee,باغي
tiz,تز
kadhyal,ڪڍيل
ramioon,رسمون
pathare,پٿاري
thikano,ٺڪاڻو
khatan,کٽڻ
blomberg,بلومبرگ
hatayaeen,هٽايائين
diharo,ڏهاڙو
ratri,راتڙي
anbooria,انبوريءَ
prefecture,پريفيڪچر
faryadi,فريادي
banjmeen,بنجمين
gorho,ڳوڙهو
karnazar,ڪرنظر
sakhatgeer,سختگير
jhaniyan,جهانيان
humze,حمزي
aishah,عائشه
moklini,موڪلڻي
almustaerbah,المستعربه
khoreenda,کوڙيندا
bachaeje,بچائجي
puhchandi,پھچندي
mojudegia,موجودگيءَ
alooq,علوق
khareedia,خريديءَ
sajiyoon,سڄيون
arpajan,ارپجن
insafiyoon,انصافيون
meloon,ميلون
mangho,منگھو
sanbazi,سنبزي
peker,پيڪر
saalia,ساليءَ
darozan,دروزن
meerani,ميراڻيءَ
penghoon,پينگهون
aanba,آڻبا
zardar,زردار
dhashatgardan,دهشتگردن
pakhan,پکن
ragib,راغب
sudhriyo,سڌڙيو
bhabhkiyoon,ڀڀڪيون
sachelius,سيچيليس
rabaiyoon,رباعيون
nuam,نعم
ghumaendiyoon,گهمائينديون
thoom,ٿوم
aanori,آنوري
theodosis,ٿيوڊوسس
mulaqatiyoon,ملاقاتيون
daadhh,ڏاڍ
samoey,ساموئي
panhenjan,پنھنجن
bren,برين
muqabili,مقابلي
rakjandiyoon,رڪجنديون
paristar,پرستار
gomz,گومز
rankan,رانڪن
sulhariyo,سلهاڙيو
karakaram,قراقرم
ghareban,غريبان
shinker,شنڪر
burdbarie,بردباري
oka,اوڪا
tapp,تپ
hamdard,ھمدرد
supred,سپريڊ
peshgeeri,پيشگيري
khidmiyoon,خدميون
mumlikati,مملڪتي
partashidad,پرتشدد
karaya,ڪرايا
ghoriyoon,گهوڙيون
numb,نمب
bosnia,بوسنيا
chansler,چانسلر
suljhaain,سلجهائڻ
bhonkanda,ڀونڪندا
sarbarah,سربراھ
althee,الٿي
gairokarpas,گائروڪارپس
nichhawar,نڇاور
gogasar,گوگاسر
safedfam,سفيدفام
kherpormeras,خيرپورميرس
banaeji,بڻائجي
peghambaran,پيغمبرن
dethoseen,ڏٺوسين
israkari,اسرڪاري
badnamosia,بدناموسيءَ
mansorah,منصوره
dastkari,دستڪاري
jaiksan,جيڪسن
majlisan,مجلسن
tarjeehi,ترجيحي
mentionn,مينشن
hajaan,هجان
dhhoran,ڍورن
waspah,واسپه
chhakaen,ڇڪائڻ
kashtarya,ڪشتريا
laembas,لئمبس
thadyan,ٿڌين
sharooq,شروق
wagodan,وڳوڙن
roonjha,رونجھا
akyola,اڪيولا
mahkari,مهڪري
abasiah,عباسيه
shahood,شھود
piyaryaeen,پياريائين
gujratee,گجراتي
karnota,ڪارنوٽا
wasai,وسائي
khitan,خطن
oats,اوٽس
panwarasa,پنوراسا
azabela,ازابيلا
khudnosht,خودنوشت
benum,بينم
ghaliba,غالبا
sifaratkari,سفارتڪاري
mathieen,مٿيئين
atkaendar,اٽڪائيندڙ
ranasar,راڻاسر
ejoketar,ايجوڪيٽر
afghania,افغانيءَ
hamkar,همڪار
perzroad,پرزروڊ
jamaee,جامعي
dhuriyoon,ڌريون
rashtar,راشتر
flute,فليوٽ
raeto,رائتو
walmajmal,والمجمل
vichhot,وڇوٽ
wasool,وصول
buzurgiyat,بزرگيت
atkiya,اٽڪيا
wangari,ونگاري
qantooriyoon,قنطوريون
maneenda,ماڻيندا
jhoopriyen,جهوپڙين
akbaria,اڪبريءَ
aggama,اڳم
dehoki,ڏهوڪي
joy,جوئي
salan,سلن
jhojhad,جهوجهد
tewehh,ٽيويهه
rajomal,راڄومل
nishahi,نشاهي
samjhayaeen,سمجهايائين
wadhara,واڌارا
qaramata,قرامطا
thakae,ٿڪائي
manhwahim,ماڻهواهم
allotrope,ايلوٽروپ
safrak,سفراڪ
behay,بيھي
alteen,التين
gawara,گوارا
arwin,ارون
jewanda,جيوندا
nikro,نڪرو
badlijandar,بدلجندڙ
serachoon,سيراچون
gareea,گريءَ
korheen,ڪوڙهين
epicuranism,ايپيڪيورينزم
pardah,پرده
ashrafiat,اشرافيت
faraghat,فراغت
manjayaeen,مڃايائين
preemier,پريميئر
piragraf,پئراگراف
dharmani,ڌرماڻي
taraheen,تراهين
ekaeen,ايڪائين
hemershiya,هيمرشيا
serafi,سيرافي
australi,آسٽريلي
pentagoon,پينٽاگون
jamhoriya,جمهوريا
thendiyan,ٿيندين
dikandiyoon,ڏڪنديون
krysh,ڪريس
hazil,حاضل
sarfan,صارفن
bazigaria,بازيگريءَ
guzriyaeen,گذريائين
karheyi,ڪرهيي
susit,سُست
sekretaret,سيڪريٽريٽ
distald,ڊسٽلڊ
beshtar,بیشتر
badhia,ٻڌيءَ
jeeno,جينو
sujanjandar,سڃاڻجندڙ
motaendyoun,موٽائينديون
hakaro,هاڪارو
pedock,پيڊاڪ
phhiphran,ڦڦڙن
mekail,ميڪائيل
elbum,ايلبم
aazadani,آزاداڻي
sard,سرد
gashkolar,گشڪولر
alharqoomiya,الحرقوميه
begumat,بيگمات
nishanah,نشانه
parbhdas,پرڀداس
tezaab,تيزاب
wiknandar,وڪڻندڙ
boliyoon,ٻوليون
raseen,راسين
achrej,اچرج
computaran,ڪمپيوٽرن
wilayatia,ولايتيءَ
wotar,ووٽر
kareegree,ڪاريگري
tedo,تيڏو
madnazir,مدنظر
matrati,ماتراتي
sanbhari,سنڀاري
zilzila,زلزلا
paesa,پئسا
aghbhari,اڳڀرائي
buldings,بلڊنگس
defused,ڊفيوزڊ
techa,ٽيڪ
sabhaa,سڀاءَ
kathlyan,ڪٿلين
malbo,ملبو
vichthariyoon,وچٿريون
sikaenda,سڪائيندا
emphanian,ايمفينين
rajshahi,راجشاهي
unicersityoon,يونيورسٽيون
jath,جٺ
tajazbati,تجزباتي
lashoon,لاشون
laah,لاھ
anvesti,انويسٽي
staeen,اسٽائين
moqoofi,موقوفي
ikhtilafi,اختلافي
dhanasari,ڌناسري
pedal,پيدل
thesophists,ٿيسوفسٽس
hakter,هيڪٽر
panjoonjah,پنجونجاهه
musk,مشڪ
ramadivi,راماديوي
elegzender,اليگزينڊر
mathanhiyoon,مٿانهيون
seranjam,سرانجام
badlejen,بدلجڻ
kheru,خيرو
suhagani,سهاڳڻي
greenight,گرينائيٽ
muko,مڪو
seehwal,سيهوال
yadgiria,يادگيريءَ
raryaro,رڙيارو
dubiyal,دٻيل
hadshay,حادثي
zaradari,زرادري
talbiyo,طلبيو
hashmyah,هاشميه
sehawan,سيوهڻ
kushada,ڪشاده
porayi,پورائي
chawey,چوي
jalawatniyoon,جلاوطنيون
newada,نيوادا
processors,پروسيسرس
almaeed,المعيد
muhadisan,محدثن
wachenoon,وڃڻون
salmi,سلمي
bharwari,ڀرواري
dadwahi,دادواهي
lorenzo,لورينزو
aggwaania,اڳواڻيءَ
mashghuli,مشغولي
lohh,لوهه
ghadarn,غدارن
baangi,بانگي
sheno,شينو
pirodiyo,پروڙيو
sienna,سينا
parkota,پرڪوٽا
taqazaoon,تقاضائون
amri,آمري
kirdar,کردار
satoono,ستوڻو
chhapai,ڇپائي
saghabo,سگهبو
dadli,دادلي
veganap,ويڳاڻپ
mehsud,محسود
chukan,چڪن
marandar,مرندڙ
sprout,اسپرائوٽ
badmesh,بدمعاش
kanjhe,ڪانجھي
dhobee,ڌوٻي
hydrochloric,ھائڊروڪلورڪ
philpaien,فلپائين
gormi,گورمي
aleslivate,اليسليويٽ
babeenah,بابينه
manomi,منومي
jhakar,جهڪر
hainri,ھينري
ghurbat,غربت
anboori,انبوري
sueea,سُئيءَ
navisht,نوشت
kewalai,ڪيولائي
phur,ڦوڙ
hasasyat,حساسيت
chhikaendyoun,ڇڪائينديون
ekskyotran,ايڪسڪيوٽرن
tasmeem,تصميم
kharman,خرمن
swai,سوائي
paskal,پاسڪل
kofeen,ڪوفين
chapan,چپن
khahi,کاهيءَ
najad,نجد
maad,ماڙ
chhuna,ڇنا
suremun,سُريمن
intezamiya,انتظاميا
moludan,مولودن
phhiran,ڦرڻ
thakje,ٿڪجي
badlaendar,بدلائيندڙ
osaria,اوساريءَ
ashaq,اسحاق
sardeka,سرديڪا
parkaran,پرڪارن
chubdae,چنبڙائي
qabad,قباد
mumaliah,مماليه
nirali,نرالي
elemental,ايليمينٽل
dariyae,درياءِ
haramia,حراميءَ
patyalah,پٽياله
baghyanah,باغيانه
ectenoid,ايڪٽينائيڊ
alfaragh,الفراغ
farangeen,فرنگين
humera,حميرا
karkhaanan,ڪارخانن
afghaanyan,افغانين
athwari,اٺواري
pachha,پاڇا
chhapaaendar,ڇپائيندڙ
huree,حري
wapsia,واپسيءَ
farngeen,فرنگين
chakiyani,چاڪياڻي
polaso,پولاسو
societity,سوسائٽيٽي
daryaaea,درياءَ
dhode,ڌوڏي
sojhi,سوجهي
capping,ڪيپنگ
jori,جوڙي
miran,ميرن
clections,ڪليڪشنس
abutarabia,ابوترابيءَ
rozaniyoon,روزانيون
preshers,پريشرز
lekhal,ليکل
lagee,لڳي
braziliya,برازيليا
mafooli,مفعولي
boso,بوسو
besanbhiyo,بيسنڀيو
yadgeereea,يادگيريءَ
saaro,ساڙو
seyar,سيري
dastaa,دستا
jaipoor,جئپور
phhuro,ڦرو
pukhtgea,پختگيءَ
faizah,فائزه
partion,پارشن
rauma,روما
hajaj,حجاج
karaee,ڪرائيءَ
trickle,ٽرڪل
huniyaoon,ھنيائون
makheja,ماکيجا
gunjabi,گنجابي
hadshi,حادثي
bhajae,ڀڄائي
sparko,اسپارڪو
wahamparasti,وھمپرستي
chhanoa,ڇانوءَ
mahangai,مهانگائي
jeo,جيوَ
haraendar,هارائيندڙ
mangora,منگورا
glendial,گلينڊيل
parhiyam,پڙهيم
agaraia,اڳرائيءَ
zenofoon,زينوفون
saheehoon,صحيحون
ajipo,آجپو
puchhyaeen,پڇيائين
chodhari,چوڌريءَ
bismool,بشمول
chahyaoon,چاهيائون
muqsif,مقصف
phahlan,ڦهلڻ
leadership,ليڊرشپ
sheikh,شيخ
talfeen,تلفين
nahia,نهيءَ
beemarthiyoho,بيمارٿيوهو
hijazi,حجازي
overtagia,اورٽيجيا
monjh,مونجهه
aasaetiyoon,آسائتيون
venture,وينچر
ekan,ايڪن
alkhaleefati,الخليفتي
waqao,واقعو
tajwezoon,تجويزون
phhaasan,ڦاسڻ
kereb,ڪيريب
warayaeen,ورايائين
plambing,پليمبنگ
baaid,باعد
bhagiyoon,ڀڳيون
dareegha,دريغا
chitaeji,چٽائجي
speek,اسپيڪ
noli,نولي
nishasato,نشاستو
dhakae,ڍڪائي
erwan,ايروان
zibanen,زبانن
haliyes,هليس
suhinia,سهڻيءَ
octomber,آڪٽومبر
masoomiyat,معصوميت
chhade,ڇڏي
chhikraendo,ڇڪرائيندو
ewjin,يوجين
kashchand,ڪشچند
charhando,چڙھندو
saein,سائين
phirayal,ڦريل
bunayo,بنايو
qadaria,قادريءَ
sanaeeni,سنائيني
wallen,والن
pahnjo,پهنجو
badhain,ٻڌائڻ
phhurhiyoon,ڦرهيون
haraae,ھارائي
saraaey,سراءِ
kadhiyoon,ڪڍيون
hypertext,هائيپرٽيڪسٽ
wakeelan,وڪيلن
albaraq,البراق
maxim,ميڪسم
safyan,صفيان
watim,واتم
budhiyo,ٻڌيو
fornia,فورنيا
manjhando,منجھندو
daerektan,ڊائريڪٽرن
zarer,ضرر
pasandan,پسندن
struckland,اسٽرڪلينڊ
barqat,برقت
puhatyion,پهتيون
ustariyoon,استريون
panihy,پاڻيهي
cheeho,چيهو
aljaziah,الجزيه
angor,انگور
lokomal,لوڪومل
tajri,تجري
kameno,ڪميڻو
jetaran,جيترن
eho,اهو
mehty,مهٽي
wazefa,وظيفا
daktirayani,ڊاڪٽرياڻي
ameria,اميريءَ
podh,پوڌ
horat,ھورت
mufad,مفد
chhapano,ڇپاڻو
yarmala,يرمالا
pakheranun,پکيڙڻ
kalero,ڪليرو
mangwani,منگواڻي
falan,فعلن
laadki,لاڏڪي
chaplan,چپلن
bango,ٻانگو
gerej,گيريج
khoryaeen,کوڙيائين
grvh,گروه
jhopreen,جهوپڙين
qazakhistani,قزاخستاني
qabeele,قبيلي
sorheen,سوڙهين
lagandad,لڳندڙ
arko,ارڪو
maastarkhat,ماسترخت
shikarkandwachi,شڪارڪندواچي
narmae,نرمائي
aamoon,آمون
alaflaj,الافلاج
farindan,فرندن
musems,ميوزمس
pokhraj,پوکراج
perhon,پڙهون
aaniyari,آنياري
bhoriyen,ڀورين
nishahindi,نشاهندي
maarkaytinga,مارڪيٽنگ
khulfaau,خلفاء
asanjeen,اسانجين
khenia,ڪهاڻيءَ
pinas,پڻس
akmoli,اڪمولي
nihariyan,نهارڻ
saahvaarana,ساهوارن
piyan,پيڻ
sumhando,سمهندو
kapu,ڪپ
sarkit,سرڪٽ
aaghakhan,آغاخان
shahargaji,شهرگاجي
mehshoor,محشور
kharabeen,خرابين
hyderojan,هائيڊروجن
talok,تلوڪ
fotia,فوتيءَ
lukae,لُڪَ
nekliyo,نيڪليو
tanyan,تنين
rohanga,روهنگا
amilan,عاملن
munabadkar,منابدڪر
karaeji,ڪرائجي
chatji,چٽجي
parwanan,پروانن
ghariyal,گھريل
faryad,فرياد
daryanani,درياناڻي
hoeen,هوئين
turbata,تربت
martud,مرتد
sarbulandi,سربلندي
badhaan,ٻڌان
ganpaykar,ڳڻپيوڪر
balkh,بلخ
aror,اروڙ
kohyaral,ڪوهيارل
sadyan,صدين
handhi,هنڌي
hesaya,هيسايا
nandheri,ننڍڙي
sahgil,سهگل
aaruma,ارم
fazli,فضلي
phhur,ڦر
chhapjy,ڇپجي
dharawatoon,ڌاراوتون
siksina,سڪسينا
darbaroon,دربارون
mandwani,مندواڻي
preshiya,پريشيا
pameri,پاميري
kopang,ڪوپانگ
kirno,ڪرڻو
wiharan,وهارڻ
papoo,پپو
benaey,بينائي
haeseeat,حيثيت
trollers,ٽرالرن
shale,شيل
lopo,لوپو
paandi,پانڊي
sagoriyen,سڳورين
chhuhiyo,ڇهيو
qablai,قبلائي
himat,همت
gumrah,گمراھ
likhyari,لکياري
palji,پلجي
adaro,ادارو
komaeji,ڪومائجي
cosmopolitan,ڪاسموپوليٽن
nishtar,نشتر
darkhwastgazar,درخواستگذار
reporteeng,رپورٽنگ
