vrithiyaakkiyathinu,വൃത്തിയാക്കിയത്തിനു
kurukkanekkurichu,കുറുക്കനെക്കുറിച്ച്
chentraappinni,ചെന്ത്രാപ്പിന്നി
diploometti,ഡിപ്ലോമാറ്റി
manisilaakkumallo,മനിസിലാക്കുമല്ലോ
kuzhikalkku,കുഴികൾക്കു
swaprerithamaanennu,സ്വപ്രേരിതമാണെന്ന്
mandukayaayi,മണ്ടുകയായി
shamkhuvaaramedu,ശംഖുവാരമേട്
pothupareekshaafalam,പൊതുപരീക്ഷാഫലം
misaavumenna,മിസാവുമെന്ന
aadhunikasamvidhaanangal,ആധുനികസംവിധാനങ്ങള്
kariyamkode,കരിയംകോട്
kalavarakoodiyaanu,കലവറകൂടിയാണ്
kkaampode,ക്കാമ്പോടെ
chooduchaayakkoppam,ചൂടുചായക്കൊപ്പം
yojikkunnavarkku,യോജിക്കുന്നവർക്ക്
mehamilekkaanu,മേഹമിലേക്കാണ്
ochayaayi,ഒച്ചയായി
naadinuvendathu,നാടിനുവേണ്ടത്
enchiniyarmaare,എഞ്ചിനിയർമാരെ
vighadikkappedaathe,വിഘടിക്കപ്പെടാതെ
okkuvaanenkil,ഒക്കുവാണെങ്കിൽ
uddishtasthaana,ഉദ്ദിഷ്ടസ്ഥാന
chaapinu,ചാപിന്
thunayakanumulla,തുണയാകാനുമുള്ള
roganuvaahaka,രോഗാണുവാഹക
koolastik,കോളസ്റ്റിക്
thelivaayenna,തെളിവായെന്ന
ooruchuttaanirangum,ഊരുചുറ്റാനിറങ്ങും
manayangathu,മനയങ്ങത്ത്
aakkitharukayum,ആക്കിത്തരുകയും
vaarthaaprakshepakan,വാർത്താപ്രക്ഷേപകൻ
vaatharakthathinu,വാതരക്തത്തിന്
prasavichittaamathi,പ്രസവിച്ചിട്ടാമതി
parivarthanagal,പരിവർത്തനങ്ങൾ
krithyappeduthaanum,കൃത്യപ്പെടുത്താനും
brahaspatheesavanam,ബ്രഹസ്പതീസവനം
klabbilekko,ക്ലബ്ബിലേക്കോ
aaghaathavumetta,ആഘാതവുമേറ്റ
anthaarashtrayogayum,അന്താരാഷ്ട്രയോഗയും
kazhchappadukaleyum,കാഴ്ചപ്പാടുകളേയും
maleenamaavukayaanu,മലീനമാവുകയാണ്
aayitheerumennum,ആയിത്തീരുമെന്നും
naayakamaarkk,നായകമാർക്ക്
vyathyasthathayiloode,വ്യത്യസ്ഥതയിലൂടെ
thannann,തന്നന്ന്
prapanchatthililla,പ്രപഞ്ചത്തിലില്ല
puthurpally,പുതൂർപള്ളി
nuzhanjukayarunnathinaal,നുഴഞ്ഞുകയറുന്നതിനാൽ
podinjaanu,പൊടിഞ്ഞാണ്
bodhippikkaamennum,ബോധിപ്പിക്കാമെന്നും
sthirathaayarnna,സ്ഥിരതായർന്ന
neelalohitan,നീലലോഹിതൻ
gaangulikkaayirunnu,ഗാംഗുലിക്കായിരുന്നു
nehavaakyangal,നേഹവാക്യങ്ങൾ
oorobhramanathilum,ഓരോഭ്രമണത്തിലും
parishathumaayirunnu,പരിഷത്തുമായിരുന്നു
kozhuppillathe,കൊഴുപ്പില്ലാതെ
mulayumaayi,മുലയുമായി
paarthorumingu,പാർത്തൊരുമിങ്ങു
kojanareshan,കോജനറേഷൻ
ittekkumennaanu,ഇട്ടേക്കുമെന്നാണ്
tirummunna,തിരുമ്മുന്ന
mrithadehathinundaaya,മൃതദേഹത്തിനുണ്ടായ
pracharanathinirayaayath,പ്രചരണത്തിനിരയായത്
levalileykku,ലെവലിലേയ്ക്ക്
nivarnnukidappundu,നിവർന്നുകിടപ്പുണ്ട്
aathmeeyaguruvaayirunna,ആത്മീയഗുരുവായിരുന്ന
anabhimatharaakki,അനഭിമതരാക്കി
guruswamik,ഗുരുസ്വാമിക്ക്
sainikavimaanangal,സൈനികവിമാനങ്ങൾ
thattil,തട്ടിൽ
aankarejukal,ആങ്കറേജുകൾ
vakkunnathennu,വക്കുന്നതെന്ന്
peraanittirunnath,പേരാണിട്ടിരുന്നത്
khajanaavilo,ഖജനാവിലോ
sammathikkunnathuvare,സമ്മതിക്കുന്നതുവരെ
jampinginide,ജംപിങ്ങിനിടെ
janaralmaarude,ജനറൽമാരുടെ
somnipharam,സോമ്നിഫറം
kkaranamillaattha,ക്കരണമില്ലാത്ത
chengapally,ചെങ്ങാപ്പള്ളി
ishtani,ഇഷ്ടാനി
lethennaanu,ലേതെന്നാണ്
kollappettava,കൊല്ലപ്പെട്ടവ
hatayumullavaraanu,ഹതയുമുള്ളവരാണ്
chaavachapp,ചാവച്ചപ്പ്
bhaagamaakunnavaraan,ഭാഗമാകുന്നവരാണ്
anukoolamaane,അനുകൂലമാണെ
klintum,ക്ലിന്റും
vishaalasakhyathinaayi,വിശാലസഖ്യത്തിനായി
malsyangalum,മത്സ്യങ്ങളും
mattorardhatthil,മറ്റൊരർഥത്തിൽ
vismayakkazhchayil,വിസ്മയക്കാഴ്ചയിൽ
juniac,ജൂനിയാക്
ravorikkiyaanu,രാവൊരിക്കിയാണ്
mccartney,മക്കാർട്ട്നി
toornamentode,ടൂർണമെന്റോടെ
veedanum,വീടനും
neelamaanga,നീലമാങ്ങ
mokavoorilekku,മൊകവൂരിലേക്ക്
maasathekkaayi,മാസത്തേക്കായി
aayitheeranamenna,ആയിത്തീരണമെന്ന
katwe,കൊട്വെ
plavilayano,പ്ലാവിലയാണോ
kazhinjathiloodeyum,കഴിഞ്ഞതിലൂടെയും
vimaanathinoru,വിമാനത്തിനൊരു
camlet,കാംലെറ്റ്
aakshepamillennum,ആക്ഷേപമില്ലെന്നും
hridayavichaarangalum,ഹൃദയവിചാരങ്ങളും
baadhikkaathathinu,ബാധിക്കാത്തതിനു
capsuleukaleyum,ക്യാപ്സ്യൂളുകളെയും
vilavukalaaya,വിളവുകളായ
trivenimoovees,ത്രിവേണിമൂവീസ്
jennifarinte,ജെന്നിഫറിന്റെ
pothushuchimuriyil,പൊതുശുചിമുറിയിൽ
ayogyanakkiyashesham,അയോഗ്യനാക്കിയശേഷം
mudiyillaathaavukayum,മുടിയില്ലാതാവുകയും
myoosiksaanu,മ്യൂസിക്സാണ്
adhyakshaye,അധ്യക്ഷയെ
nohaykku,നോഹയ്ക്കു
tharapp,തറപ്പ്
mungiyappozhum,മുങ്ങിയപ്പോഴും
kamalaanennum,കമലാണെന്നും
sookshikkaanaanallo,സൂക്ഷിക്കാനാണല്ലോ
raajyathileyo,രാജ്യത്തിലെയോ
lekhanangalodum,ലേഖനങ്ങളോടും
cheyyaruthennirikke,ചെയ്യരുതെന്നിരിക്കെ
audaaryamundaakanam,ഔദാര്യമുണ്ടാകണം
bhedichittum,ഭേദിച്ചിട്ടും
settilcheyyanam,സെറ്റിൽചെയ്യണം
vazhipaadukalkkumaayi,വഴിപാടുകൾക്കുമായി
groupumellam,ഗ്രൂപ്പുമെല്ലാം
shankaaraachaaryarude,ശങ്കാരാചാര്യരുടെ
bandhamaayitheerunna,ബന്ധമായിത്തീരുന്ന
terrora,ടെറോറ
vishaadavumaayum,വിഷാദവുമായും
naduvodichathum,നടുവൊടിച്ചതും
janathayudethumallaatha,ജനതയുടേതുമല്ലാത്ത
daathukkalaayi,ധാതുക്കളായി
oonasadyayilundu,ഓണസദ്യയിലുണ്ട്
chundulalathumaaya,ചുണ്ടുളളതുമായ
sakalakalavallabhanum,സകലകലാവല്ലഭനും
daivakalpanakal,ദൈവകൽപനകൾ
kanyakayaayirunnilla,കന്യകയായിരുന്നില്ല
kristhvaanubhavam,ക്രിസ്ത്വാനുഭവം
daivasnehathinta,ദൈവസ്നേഹത്തിന്റ
oozhathilenna,ഊഴത്തിലെന്ന
neekkamaanennu,നീക്കമാണെന്നു
paranjayaalinu,പറഞ്ഞയാളിനു
vayarumaathram,വയറുമാത്രം
paranjaalenthavaa,പറഞ്ഞാലെന്തവാ
mancheriyilumulla,മഞ്ചേരിയിലുമുള്ള
thengiyavar,തേങ്ങിയവർ
santhoshakkireedam,സന്തോഷക്കിരീടം
vikreeyakal,വിക്രീയകൾ
pazhuppundaavuka,പഴുപ്പുണ്ടാവുക
marupadiparayumennu,മറുപടിപറയുമെന്ന്
paadashekharatthilpetta,പാടശേഖരത്തിൽപെട്ട
pottukalilekku,പോട്ടുകളിലേക്ക്
varumanavumulla,വരുമാനവുമുള്ള
romakkooduthalum,രോമക്കൂടുതലും
athunnundoyenna,എത്തുന്നുണ്ടോയെന്ന
pakarnnuthanna,പകർന്നുതന്ന
joodiyaayile,ജൂഡിയായിലെ
puthanpandakashaalayil,പുത്തൻപണ്ടകശാലയിൽ
eravikuttanpilla,ഇരവികുട്ടൻപിള്ള
aakhyaanakaaranodu,ആഖ്യാനകാരനോടു
athaazhakkottukaarum,അത്താഴക്കൊട്ടുകാരും
vanithayozhichu,വനിതയൊഴിച്ച്
janthushas,ജന്തുശാസ്
peythirangunnilla,പെയ്തിറങ്ങുന്നില്ല
anumathiyekkurichum,അനുമതിയെക്കുറിച്ചും
sentarililla,സെന്ററിലില്ല
prabalamaakkiyathu,പ്രബലമാക്കിയത്
awant,അവാന്ത്
lijeshbabu,ലിജേഷ്ബാബു
sangeethaaru,സംഗീതാര്
parisheelakanaakkiyathum,പരിശീലകനാക്കിയതും
thanuppaayirunnathre,തണുപ്പായിരുന്നത്രേ
bandhamillaathavarude,ബന്ധമില്ലാത്തവരുടെ
kazhuthakaludeyum,കഴുതകളുടേയും
thakaraarililla,തകരാറിലില്ല
kaulumaayulla,കൌളുമായുള്ള
khadaani,ഖദാനി
kaikollunnathennaanu,കൈകൊള്ളുന്നതെന്നാണ്
fanejilekkum,ഫനേജിലേക്കും
njaanashaasthravum,ജ്ഞാനശാസ്ത്രവും
vandiyilaaykku,വണ്ടിയിലായ്ക്ക്
vedivachathodeyaanu,വെടിവച്ചതോടെയാണ്
edapedalukalaaya,ഇടപെടലുകളായ
kaivilanganiyichu,കൈവിലങ്ങണിയിച്ച്
aashramamennaanu,ആശ്രമമെന്നാണ്
jatindra,ജതിന്ദ്ര
antre,അന്ത്രെ
kalavinekkurichum,കളവിനെക്കുറിച്ചും
shishyanmaariloode,ശിഷ്യന്മാരിലൂടെ
abhimukhakkaaran,അഭിമുഖക്കാരൻ
durgandhamadikkunnu,ദുർഗന്ധമടിക്കുന്നു
mahanadiyile,മഹനടിയിലെ
bhayappedukayo,ഭയപ്പെടുകയോ
cheyyaathavayudeyum,ചെയ്യാത്തവയുടെയും
avahelikkaanumaanu,അവഹേളിക്കാനുമാണ്
emiric,എമിറിക്
shijing,ഷിജിങ്
sahaayangalodoppam,സഹായങ്ങളോടൊപ്പം
vijnjaanakalakalilum,വിജ്ഞാനകലകളിലും
maankulatthinum,മാങ്കുളത്തിനും
uchakkathe,ഉച്ചക്കത്തെ
pazhanchanaavunnu,പഴഞ്ചനാവുന്നു
irakkumaayirunnu,ഇറക്കുമായിരുന്നു
mahmoodinethire,മഹ്മൂദിനെതിരെ
pakuthiykku,പകുതിയ്ക്കു
samvadikkunnavaraanu,സംവദിക്കുന്നവരാണ്
phonillaatha,ഫോണില്ലാത്ത
pachapidichashesham,പച്ചപിടിച്ചശേഷം
aadyaghattame,ആദ്യഘട്ടമേ
kathiykkukayum,കത്തിയ്ക്കുകയും
ghattamaayathukond,ഘട്ടമായതുകൊണ്ട്
adisthaanashilayil,അടിസ്ഥാനശിലയില്
maanchastarumaayulla,മാഞ്ചസ്റ്ററുമായുള്ള
avatharanareethikkoru,അവതരണരീതിക്കൊരു
durbharanathilninnu,ദുർഭരണത്തിൽനിന്ന്
naanamaayath,നാണമായത്
ashwanthinum,അശ്വന്തിനും
kolilullathaanenna,കോളിലുള്ളതാണെന്ന
kavikalaalum,കവികളാലും
seethayekkurichu,സീതയെക്കുറിച്ച്
nasarpur,നസർപൂർ
maryaadakalumonnum,മര്യാദകളുമൊന്നും
sixtus,സിക്സ്റ്റസ്
meriyenna,മെറിയെന്ന
dandavimochanamvazhi,ദണ്ഡവിമോചനംവഴി
nadatthumvare,നടത്തുംവരെ
soriyonnum,സോറിയൊന്നും
nalthiyath,നൽതിയത്
punyadaanam,പുണ്യദാനം
upadeshakanaayirikkanam,ഉപദേശകനായിരിക്കണം
thirayalupayogichu,തിരയലുപയോഗിച്ച്
thilakkamullathukondu,തിളക്കമുള്ളതുകൊണ്ട്
pennukandenkilum,പെണ്ണുകണ്ടെങ്കിലും
tharalumokke,തരലുമൊക്കെ
dooramaanithennu,ദൂരമാണിതെന്ന്
aavunnathaayo,ആവുന്നതായോ
bodiyodanubandhichu,ബോഡിയോടനുബന്ധിച്ചു
parasparabandhangalilum,പരസ്പരബന്ധങ്ങളിലും
marikkannu,മരിക്കന്നു
janusilekku,ജനുസിലേക്ക്
aayirunnennaanente,ആയിരുന്നെന്നാണെന്റെ
makkalundaakunnu,മക്കളുണ്ടാകുന്നു
paadillennalla,പാടില്ലെന്നല്ല
kuriakkas,കുറിയാക്കാസ്
thaanathinetthudarnnu,താണതിനെത്തുടർന്ന്
dahippikkaamenna,ദഹിപ്പിക്കാമെന്ന
kunnelum,കുന്നേലും
thakarunnathukandu,തകരുന്നതുകണ്ട്
avihithabandhamenna,അവിഹിതബന്ധമെന്ന
masikale,മസികളെ
elbp,എൽബിപി
sambhavasthalathi,സംഭവസ്ഥലത്തി
awwabi,അവ്വാബി
manasurachu,മനസുറച്ചു
ennaanavale,എന്നാണവളെ
poonaayil,പൂനായിൽ
aabhasatheyum,ആഭാസത്തെയും
undumurangiyum,ഉണ്ടുമുറങ്ങിയും
pinaraayiyudeyatrayum,പിണറായിയുടെയത്രയും
simpilalla,സിംപിളല്ല
aksharaabyaasamilla,അക്ഷരാഭ്യാസമില്ല
holikkaya,ഹോളിക്കായ
lemonade,ലെമണേഡ്
koodappirappineyaanu,കൂടപ്പിറപ്പിനെയാണ്
srishtichenkil,സൃഷ്ടിച്ചെങ്കിൽ
onnichirikkum,ഒന്നിച്ചിരിക്കും
vilayidiyumennu,വിലയിടിയുമെന്ന്
vankidakkaarudethaanu,വൻകിടക്കാരുടേതാണ്
pettakatthilaakki,പെട്ടകത്തിലാക്കി
labhyavaavunnathaanu,ലഭ്യവാവുന്നതാണ്
chaadichavar,ചാടിച്ചവർ
lottariyadichathinu,ലോട്ടറിയടിച്ചതിനു
vaidyar,വൈദ്യർ
ravikumarumaayulla,രവികുമാറുമായുള്ള
ulliyudeyo,ഉള്ളിയുടെയോ
poovannikkunnel,പൂവന്നിക്കുന്നേൽ
vijendra,വിജേന്ദ്രയെ
keralapathrikayude,കേരളപത്രികയുടെ
minnineyaanu,മിന്നിനെയാണ്
sheejayodu,ഷീജയോടു
myoosikkinaayi,മ്യൂസിക്കിനായി
vyaazhaazhchayaano,വ്യാഴാഴ്ചയാണോ
shapathavumaanennum,ശപഥവുമാണെന്നും
maalinyangalenn,മാലിന്യങ്ങളെന്ന്
aattaye,ആറ്റയെ
raghunaathanteyum,രഘുനാഥന്റേയും
karmangalum,കർമങ്ങളും
bayaninethire,ബയണിനെതിരെ
varaathirikkaanenn,വരാതിരിക്കാനെന്ന്
theenmeshayilethumbol,തീൻമേശയിലെത്തുമ്പോൾ
nashtappettavarude,നഷ്ടപ്പെട്ടവരുടെ
paripaadiyetthunnathu,പരിപാടിയെത്തുന്നത്
neythedukkukayum,നെയ്തെടുക്കുകയും
tikait,തികൈത്
kaiyerunnundu,കൈയേറുന്നുണ്ട്
padatthiletthunnathode,പദത്തിലെത്തുന്നതോടെ
keralamethunnu,കേരളമെത്തുന്നു
nissahaayanaayippoyi,നിസ്സഹായനായിപ്പോയി
chirayilethumbol,ചിറയിലെത്തുമ്പോൾ
ithgurutharamaaya,ഇത്ഗുരുതരമായ
vachirunnalum,വച്ചിരുന്നലും
vittazhikkalinteyum,വിറ്റഴിക്കലിന്റേയും
tulaseedaasinu,തുളസീദാസിന്
lajonginaayi,ലജോങ്ങിനായി
mrugaas,മൃഗാസ്
paaraveppukale,പാരവെപ്പുകളെ
athibhouthikashaasthram,അതിഭൌതികശാസ്ത്രം
thaankaleppoloru,താങ്കളെപ്പോലൊരു
vinayanolam,വിനയനോളം
kallattu,കല്ലാട്ടു
ennappanakalude,എണ്ണപ്പനകളുടെ
poornnaroopamaanu,പൂർണ്ണരൂപമാണ്
kilikalennu,കിളികളെന്നു
maasmarikavum,മാസ്മരികവും
mathaprabhaashanathinaayi,മതപ്രഭാഷണത്തിനായി
sidhikalundennum,സിദ്ധികളുണ്ടെന്നും
ayappanodulla,അയപ്പനോടുള്ള
kshemamallennum,ക്ഷേമമല്ലെന്നും
makanekkurichaavaam,മകനെക്കുറിച്ചാവാം
niyamavaazhchayulla,നിയമവാഴ്ച്ചയുള്ള
ezhuthukaaranaavenda,എഴുത്തുകാരനാവേണ്ട
akalumathre,അകലുമത്രെ
motorsport,മോട്ടോർസ്പോർട്
maathu,മാതു
niyamanathiloodeyumaanu,നിയമനത്തിലൂടെയുമാണ്
palaharamundakki,പലഹാരമുണ്ടാക്കി
kollatheyulla,കൊല്ലാതെയുള്ള
shubhakaalam,ശുഭകാലം
kaalakritham,കാലകൃതം
vvahikkunnathaavum,വ്വഹിക്കുന്നതാവും
sukalodeyaanu,സുകളോടെയാണ്
pusthakaprasaadanam,പുസ്തകപ്രസാദനം
malayiletthanamenkil,മലയിലെത്തണമെങ്കിൽ
kappinodoppam,കപ്പിനോടൊപ്പം
nirdoshamaaya,നിർദോഷമായ
gauravamere,ഗൌരവമേറെ
bhaavangalekkondu,ഭാവങ്ങളെക്കൊണ്ട്
maranavaarthayude,മരണവാർത്തയുടെ
tunerukalil,ട്യൂണറുകളിൽ
oodavetti,ഓടവെട്ടി
vivarichaayirunnu,വിവരിച്ചായിരുന്നു
natakkuka,നടക്കുക
sammaanamundenna,സമ്മാനമുണ്ടെന്ന
visheshikkaam,വിശേഷിക്കാം
kanakkunokkaarilla,കണക്കുനോക്കാറില്ല
maattiyezhuthiyath,മാറ്റിയെഴുതിയത്
naalaamathetho,നാലാമത്തേതോ
shikharathilum,ശിഖരത്തിലും
paarthiyar,പാർത്തിയർ
varanaadhikaarikalaan,വരണാധികാരികളാണ്
uruttiyenn,ഉരുട്ടിയെന്ന്
muttiyalla,മുട്ടിയല്ല
saamoohyavimarshanavumaayi,സാമൂഹ്യവിമർശനവുമായി
pradhanyamullathumaaya,പ്രധാന്യമുള്ളതുമായ
rahasyamozhiyeduppum,രഹസ്യമൊഴിയെടുപ്പും
annanidraaviheenaraayi,അന്നനിദ്രാവിഹീനരായി
munnariyippavum,മുന്നറിയിപ്പാവും
bhaaramundaakkunnu,ഭാരമുണ്ടാക്കുന്നു
muttukalulla,മുട്ടുകളുള്ള
janathaaparttiyile,ജനതാപാർട്ടിയിലെ
paatamathaanu,പാഠമതാണ്
nehayodu,നേഹയോടു
maadyamangaludam,മാധ്യമങ്ങളുടം
anthassamsthaanapaatha,അന്തസ്സംസ്ഥാനപാത
poovanaayi,പൂവനായി
endiekkundennu,എൻഡിഎക്കുണ്ടെന്ന്
pratheykamaa,പ്രത്യേകമാ
vaattaasaappumaayi,വാട്ടാസാപ്പുമായി
kachavadasaamaanangal,കച്ചവടസാമാനങ്ങൾ
iyaalileykku,ഇയാളിലേയ്ക്ക്
bhaktisaandramaayi,ഭക്തിസാന്ദ്രമായി
sajjeekarikkanaavilla,സജ്ജീകരിക്കാനാവില്ല
shamsudeenodu,ഷംസുദീനോട്
velichathilanathre,വെളിച്ചത്തിലാണത്രെ
ottiyaanu,ഒട്ടിയാണ്
gurumurthy,ഗുരുമൂർത്തി
dhrupat,ധ്രുപത്
thamizhnaadilo,തമിഴ്നാടിലോ
moonnuvanithakalum,മൂന്നുവനിതകളും
nilapaadennathu,നിലപാടെന്നത്
kurippadiyumaayi,കുറിപ്പടിയുമായി
saahanamaakunnuvenn,സാഹനമാകുന്നുവെന്ന്
nediyedukkendathalla,നേടിയെടുക്കേണ്ടതല്ല
cherthalayaanu,ചേർത്തലയാണ്
bheeshaniyaakunnenn,ഭീഷണിയാകുന്നെന്ന്
samvidhaayakarumphraankku,സംവിധായകരുംഫ്രാങ്ക്
bandhamullavarumalla,ബന്ധമുള്ളവരുമല്ല
praaniyilum,പ്രാണിയിലും
kshayichuvennaanu,ക്ഷയിച്ചുവെന്നാണ്
abhipraayamthedaan,അഭിപ്രായംതേടാൻ
mackle,മാക്കിൾ
spective,സ്പക്ടീവ്
cheyyaarulla,ചെയ്യാറുള്ള
kaarude,കാരുടെ
sinosus,സൈനോസസ്
upayogiykkaruth,ഉപയോഗിയ്ക്കരുത്
vibhajikkuvaanum,വിഭജിക്കുവാനും
nambarinaal,നമ്പറിനാൽ
vadakkemannayil,വടക്കേമണ്ണയിൽ
bharananayathe,ഭരണനയത്തെ
vansammardhathinu,വൻസമ്മർദ്ദത്തിനു
valichittundu,വലിച്ചിട്ടുണ്ട്
pradyothakaru,പ്രദ്യോതകര്
panchayaathukalilum,പഞ്ചയാത്തുകളിലും
koodeppoyilla,കൂടെപ്പോയില്ല
samaanathakalkkappuramula,സമാനതകൾക്കപ്പുറമുളള
mekhalakkullil,മേഖലക്കുള്ളിൽ
sidheekki,സിദ്ധീക്കി
ezhuthendivannathu,എഴുതേണ്ടിവന്നത്
raavupakalaakkiyaanu,രാവുപകലാക്കിയാണ്
naadubharikkunnu,നാടുഭരിക്കുന്നു
kadukkumennurappu,കടുക്കുമെന്നുറപ്പ്
airbaagaanu,എയർബാഗാണ്
kairana,കൈരാന
panamirakkunnathinum,പണമിറക്കുന്നതിനും
beuroyilundaaya,ബ്യൂറോയിലുണ്ടായ
akramikkal,അക്രമിക്കൽ
avareyariyaamennum,അവരെയറിയാമെന്നും
apamanakaramaayennum,അപമാനകരമായെന്നും
nambarillaatthavar,നമ്പറില്ലാത്തവര്
kaattuveeshumenn,കാറ്റുവീശുമെന്ന്
soopparinu,സൂപ്പറിനു
vijayikalaakaamenn,വിജയികളാകാമെന്ന്
karunaattile,കരുനാട്ടിലെ
aashvaasakkaazhchayaayi,ആശ്വാസക്കാഴ്ചയായി
jilidunnathu,ജിലിടുന്നത്
marumukhangal,മറുമുഖങ്ങൾ
madiyumillallo,മടിയുമില്ലല്ലോ
chelavaakkaamenn,ചെലവാക്കാമെന്ന്
pidiyilaayirunnu,പിടിയിലായിരുന്നു
achakattu,അച്ചകട്ട്
pollalettatthinu,പൊള്ളലേറ്റത്തിന്
makanennathilupari,മകനെന്നതിലുപരി
dhoniykkaanu,ധോണിയ്ക്കാണ്
impeachmentiloode,ഇംപീച്ച്മെന്റിലൂടെ
vittavilayum,വിറ്റവിലയും
maarininnalpolum,മാറിനിന്നാൽപോലും
irupathuvare,ഇരുപതുവരെ
aaraadhikkendennum,ആരാധിക്കേണ്ടെന്നും
bhaagavumaanenn,ഭാഗവുമാണെന്ന്
apoornamaavum,അപൂർണമാവും
theerppaakumbol,തീർപ്പാകുമ്പോൾ
iimpeachment,ഇംപീച്ച്മെന്റ്
ariyikkaveyaanu,അറിയിക്കവെയാണ്
specialistinu,സ്പെഷലിസ്റ്റിനു
thankavallyamma,തങ്കവല്ല്യമ്മ
adikittilla,അടികിട്ടില്ല
varshathekkum,വർഷത്തേക്കും
tropico,ട്രോപ്പിക്കോ
pulkkoodukalil,പുൽക്കൂടുകളിൽ
aavashyappettuvo,ആവശ്യപ്പെട്ടുവോ
kadamkondittulla,കടംകൊണ്ടിട്ടുള്ള
paaraavuninnirunna,പാറാവുനിന്നിരുന്ന
nanmamanassukalude,നന്മമനസ്സുകളുടെ
soujanyamaakkanamennum,സൌജന്യമാക്കണമെന്നും
mikavuttathaakkanam,മികവുറ്റതാക്കണം
thanthriyenna,തന്ത്രിയെന്ന
varuthisamayangalil,വറുതിസമയങ്ങളിൽ
shajeendran,ഷജീന്ദ്രന്
vikasananubhavangaleyum,വികസനാനുഭവങ്ങളെയും
uchokodi,ഉച്ചോകോടി
kuttithalamudiyil,കുറ്റിത്തലമുടിയിൽ
karichukalayukayaanu,കരിച്ചുകളയുകയാണ്
athidurlabhamaaya,അതിദുർലഭമായ
anuyojyamenkil,അനുയോജ്യമെങ്കില്
thuchamaam,തുച്ചമാം
sigarattilulla,സിഗരറ്റിലുള്ള
soochanayilekku,സൂചനയിലേക്കു
jaivamaalinyasamskkarana,ജൈവമാലിന്യസംസ്ക്കരണ
sambannaraayavarude,സമ്പന്നരായവരുടെ
pokandeyennum,പോകണ്ടേയെന്നും
bhangikoottukayeyullu,ഭംഗികൂട്ടുകയെയുള്ളു
upacharamennanilayil,ഉപചാരമെന്നനിലയിൽ
chittiyudama,ചിട്ടിയുടമ
ponnaammattatthe,പൊന്നാമ്മറ്റത്തെ
udhaaranathile,ഉദ്ധാരണത്തിലെ
naambidumbolu,നാമ്പിടുമ്പോള്
manassilaavumallo,മനസ്സിലാവുമല്ലോ
neekkupokkinte,നീക്കുപോക്കിന്റെ
injuaridaimil,ഇഞ്ച്വറിടൈമിൽ
kuttamaaropikkukayum,കുറ്റമാരോപിക്കുകയും
jumka,ജുംക
akathaayirunnilla,അകത്തായിരുന്നില്ല
pareexayezhuthunnavaril,പരീക്ഷയെഴുതുന്നവരിൽ
muraleedharanodaanu,മുരളീധരനോടാണ്
nadathanamennum,നടത്തണമെന്നും
perilaakukayaayirunnu,പേരിലാകുകയായിരുന്നു
promotermarum,പ്രൊമോട്ടർമാരും
manorogamaayi,മനോരോഗമായി
atheejivikkaan,അതീജിവിക്കാൻ
bhooripakshamathamaaya,ഭൂരിപക്ഷമതമായ
kettichennum,കെട്ടിച്ചെന്നും
sookshikkunnathile,സൂക്ഷിക്കുന്നതിലെ
kadambalayile,കടമ്പളയിലെ
padaviyullavaykkum,പദവിയുള്ളവയ്ക്കും
