mwnlwnga,मोनलोङा
gubunnwbw,गुबुननोबो
swngluao,सोंलुआव
nangjabpanaini,नांजाबफानायनि
moblib,मब्लिब
hantigrapwrkwo,हान्थिग्राफोरखौ
ajmol,आजमल
labwgrafwrkow,लाबोग्राफोरखौ
swdangdwngmwn,सोदांदोंमोन
swbgrani,सोबग्रानि
dwidengiripwrbaidi,दैदेनगिरिफोरबायदि
manianw,मानियानो
phangse,फांसे
dosel,दसेल
butua,बुथुवा
taoadi,तावादि
swyini,सोयिनि
mwntaya,मोन्थाया
raskungur,राजखुंगुर
sengrajwng,सेंग्राजों
bajarpwrni,बाजारफोरनि
gwrwblainw,गोरोबलायनो
badshahya,बादशाहआ
sebnayao,सेबनायाव
jamir,जामिर
bedantokwo,बेदान्तखौ
hagra,हाग्रा
fwtaiyw,फोथायो
laiao,लाइआव
nangnaimani,नांनायमानि
gargaa,गार्गआ
jwla,जोला
jaigapwra,जायगाफोरा
commissionerate,कमिसनारेट
melemjibipwrkwo,मेलेमजिबिफोरखौ
burja,बुरजा
bisaiko,बिसायख
besenkwonw,बेसेनखौनो
empwi,एमफै
karkw,खारखो
bibw,बिबो
posongjayabla,फसंजायाब्ला
bujinanwi,बुजिनानै
jahwnwkwo,जाहोनोखौ
janaipwrniprai,जानायफोरनिफ्राय
kutu,खुथु
decemberni,डिसेम्बरनि
dolilkwo,दलिलखौ
panhwinanwi,फानहैनानै
progresioni,प्रग्रेसिवनि
polao,पलआव
fwisa,फैसा
bebadiywinw,बेबादियैनो
hwmla,होमला
bernanwi,बेरनानै
jahwnaobw,जाहोनावबो
khonnwini,खन्नैनि
dwlwanw,दोलोआनो
manbatni,मानबातनि
drwin,द्रैन
hwnwtakai,होनोथाखाय
baogargra,बावगारग्रा
faukungur,फाउखुंगुर
naigirnaya,नायगिरनाया
voterfwr,भटारफोर
bajifwrkwo,बाजिफोरखौ
gunsw,गुनसो
swdangnai,सोदांनाय
swrjilangnayao,सोरजिलांनायाव
mirupwrkwo,मिरूफोरखौ
bardwngmwn,बारदोंमोन
gwmabai,गोमाबाय
onjimani,अन्जिमानि
kungpulangbai,खुंफुलांबाय
benjamin,बेन्जामिन
monjula,मन्जुला
tinhordwngmwn,थिनहरदोंमोन
maopungabla,मावफुंआब्ला
gramnikruibw,ग्रामनिख्रुइबो
swpwihang,सोफैहां
fanglangiri,फांलांगिरि
pakistaniprai,पाकिस्ताननिफ्राय
samakwo,सामाखौ
tasaripwrkwo,थासारिफोरखौ
chetrini,चेत्रीनि
officefwrao,अफिसफोराव
bipangpwrniprai,बिफांफोरनिफ्राय
tubor,थुबर
tubur,थुबुर
bangao,बांगाव
kaonsilfwrao,खाउनसिलफोराव
khaoa,खावया
mwnsigwn,मोनसिगोन
brajilni,ब्राजिलनि
jarimingirini,जारिमिनगिरिनि
maufungnaiyaubw,मावफुंनायावबो
tisonlangnw,थिसनलांनो
khungwn,खुंगोन
rickshaaa,रिक्साआ
dintigiri,दिन्थिगिरि
sufungjanai,सुफुंजानाय
swrkani,सोरखानि
dehapahamgiripwrjwng,देहाफाहामगिरिफोरजों
sport,स्पर्ट
bidaihwnai,बिदायहोनाय
kajiparani,काजिपारानि
bengoli,बेंगली
harakwosw,हाराखौसो
kursid,खुर्सिद
lananwi,लानानै
valentiani,भेलेन्सियानि
fanjanai,फानजानाय
asiafwrni,एसियाफोरनि
junaki,जुनाकि
beramiya,बेरामिया
tajanw,थाजानो
nujapwigwn,नुजाफैगोन
tagibimwn,थागिबिमोन
biyabaonw,बियाबआवनो
officenifrai,अफिसनिफ्राय
nangwobaidi,नांगौबायदि
omaya,अमाया
subwiyw,सुबैयो
dihungrafwrabw,दिहुनग्राफोराबो
danjanaiao,दानजानायाव
gwmkang,गोमखां
hoywi,हयै
sibilangdwngmwn,सिबिलांदोंमोन
pinnaikwobw,फिननायखौबो
khaoriniprai,खाउरिनिफ्राय
burmaniprai,बार्मानिफ्राय
sondibwraa,सन्दिबोरआ
benarao,बेनाराव
fwrmaidwngdi,फोरमायदोंदि
bijirsilini,बिजिरसिलिनि
jengnang,जेंनां
kwndwbw,खोन्दोबो
sibsagorao,सिबसागराव
naibijirnw,नायबिजिरनो
somonnoi,समन्नय
dapungjadwngmwn,दाफुंजादोंमोन
kibuting,खिबुथिं
bema,बेमा
rateni,रेटनि
gwsarhwiyw,गोसारहैयो
gonaijaya,गनायजाया
connectionkwo,कानेक्सनखौ
patasarkusi,पाटासारकुसि
janangbai,जानांबाय
banainaifwrkwo,बानायनायफोरखौ
dwidengirimwna,दैदेनगिरिमोना
bwhwigarlangbai,बोहैगारलांबाय
nugiripwr,नुगिरिफोर
rajafadao,राजआफादयाव
beprao,बेफ्राव
hwtabnanwi,होथाबनानै
swdangbwnai,सोदांबोनाय
chebu,चेबु
tangpanai,थांफानाय
swmaosarnai,सोमावसारनाय
atwnni,आथोननि
gwmabaimwn,गोमाबायमोन
maobifana,मावबिफाना
commission,कमिशन
swdakwi,सोदाखै
aogailangasinw,आवगायलांगासिनो
jothai,जथाइ
butarordwng,बुथाररदों
singaoao,सिङावआव
kamlabjwbw,खामलाबजोबो
odola,अदला
derhasarhwywbla,देरहासारहोयोब्ला
batasipur,बाथासिपुर
eleksna,इलेक्सना
bhuginangnai,भुगिनांनाय
tourch,टर्च
mainritpwr,माइनरितफोर
jaleshwarao,जालेस्वराव
tisonjanangwomwn,थिसनजानांगौमोन
gaobadi,गावबादि
mwndangtini,मोनदांथिनि
kisanni,किसाननि
gaogranw,गावग्रानो
bibangiripwrkwo,बिबानगिरिफोरखौ
harisani,हारिसानि
bwkarjaya,बोखारजाया
naigirw,नाइगिरो
bonas,बनास
takwao,थाखोवाव
tulunganaikwo,थुलुंगानायखौ
basumataryaa,बसुमातरीआ
woajwng,औवाजों
bipanakwo,बिफानाखौ
dintihwinai,दिन्थिहैनाय
courtao,कर्टयाव
mwsanaikwo,मोसानायखौ
farifwrao,फारिफोराव
nongkaya,नंखाया
andang,आनदां
fwtaiywla,फोथायोला
onmardwngmwnbw,अनमारदोंमोनबो
jwbta,जोबथा
maobadani,मावबादानि
sikiri,सिखिरि
swrkwo,सोरखौ
bwlwa,बोलोआ
motorpwrabw,मटरफोराबो
voterpwrnw,भटारफोरनो
gidwngmwnblabw,गिदोंमोनब्लाबो
banaia,बानाया
karkumanai,खारखुमानाय
silverni,सिलवारनि
bikash,बिकाश
saoraimelpwra,सावरायमेलफोरा
saoraiywiao,सावरायैआव
parmission,पार्मिसन
khundungjwng,खुन्दुंजों
fwlaonanwi,फोलावनानै
jeora,जेवरा
maonaiao,मावनायाव
thangkhini,थांखिनि
mwnnaipwrni,मोन्नायफोरनि
fwtwinaya,फोथैनाया
hwjwbgrwnw,होजोबग्रोनो
jayagayao,जायागायाव
rwngswdangnai,रोंसोदांनाय
ontaini,अन्थायनि
pwipinnai,फैफिन्नाय
feruah,फेरुआ
urfe,उरफे
ronjan,रन्जान
ghomonda,घमण्डा
borjarni,बरजारनि
gabhorakwimwn,गाबहराखैमोन
bitangmwni,बिथांमोनि
jogod,जगद
trinamool,ट्रिनामुल
sujraipinnai,सुज्रायफिन्नाय
patkibari,पाटकिबारि
restworentni,रेस्तौरेन्टनि
museumni,मिउजियामनि
bisigipwrni,बिसिगिफोरनि
nablani,नाब्लानि
dhorwmanw,धरोमानो
tasaria,थासारिआ
fwiyaswi,फैयासै
railaywblabw,रायलायोब्लाबो
bisaikhungtai,बिसायखुंथाय
jabwr,जाबोर
gunpwrabw,गुनफोराबो
ritupurna,रितुपुर्न
tangkipwr,थांखिफोर
nwgwrarijanw,नोगोरारिजानो
sirimwndwng,सिरिमोनदों
bejerao,बेजेराव
kolakhetro,कलाक्षेत्र
tamhinba,थामहिनबा
pis,पिस
bubliao,बुब्लिआव
jebw,जेबो
biplob,बिप्लब
ciil,सिआइआइएल
lirpampinnw,लिरफामफिननो
habaitanaini,हाबायथानायनि
komainaini,खमायनायनि
musukapwra,मुसुखाफोरा
mateao,मेटआव
samlailangywbla,सामलायलाङोब्ला
bitangjwng,बिथांजों
thunlaigirikwo,थुनलाइगिरिखौ
mugwitaoywi,मुगैथावै
nehataripwr,नेहाथारिफोर
habfwinaifwrkwo,हाबफैनायफोरखौ
gudamni,गुदामनि
raoswlaigrapwrnw,रावसोलायग्राफोरनो
maokaoao,मावखावाव
fwitaona,फैथावना
baiplejwbdwng,बायफ्लेजोबदों
berosto,बेरस्त
mwnlangdwngmwn,मोनलांदोंमोन
tanaikwosw,थानायखौसो
japunggwnkwo,जाफुंगोनखौ
dhwrwmiya,धोरोमिया
bibangiria,बिबानगिरिया
jayakiswi,जायाखिसै
katli,काटलि
mitihorakwi,मिथिहराखै
californiaaobw,केलफर्नियाआवबो
gosorjwng,गसरजों
sering,सेरिं
danpwrniprainw,दानफोरनिफ्रायनो
salainaijwng,सालाइनायजों
pampwra,पामफोरा
ritunai,रिथुनाय
bwishya,बैश्य
collegeniprai,कॉलेजनिफ्राय
certified,सार्टिफाइद
kubwidwngmwn,खुबैदोंमोन
sifaigrakwo,सिफायग्राखौ
bangraoari,बांरावारि
lwnglangnaikwo,लोंलांनायखौ
planingni,प्लानिंनि
gakwlangnanwi,गाखोलांनानै
tisonjanainipra,थिसनजानायनिफ्रा
asebang,एसेबां
bekainw,बेखायनो
horpinnai,हरफिन्नाय
lukangjanai,लुखांजानाय
mitijanw,मिथिजानो
aowakwo,आवाखौ
formate,फरमेट
bijirgirianw,बिजिरगिरियानो
silainiprai,सिलाइनिफ्राय
ponchaini,पन्चायनि
gwsardulanaikwo,गोसारद्लानायखौ
pressniprai,प्रेसनिफ्राय
fosongtana,फसंथाना
lotai,लथाय
sultanni,सुलताननि
gwbangninw,गोबांनिनो
tangnangwomwn,थांनांगौमोन
bekjwng,बेकजों
ampwo,एमफौ
bibungtipwrni,बिबुंथिफोरनि
karnaini,खारनायनि
jabsinna,जाबसिन्ना
fwrsaojabaonw,फोरसावजाबावनो
doseni,दसेनि
wnswlani,ओनसोलानि
langnainiprai,लांनायनिफ्राय
labanita,लाबानिथा
nanwi,नानै
jisukwol,जिसुखौल
bharatyaripwrniao,भारतआरिफोरनियाव
jillakwo,जिल्लाखौ
lokar,लकार
menda,मेनदा
bijwngjwng,बिजोंजों
partykwo,पार्टिखौ
soptayao,सप्तायाव
sapidwngmwn,साफिदोंमोन
jiao,जिआव
hwtejwbnangwo,होथेजोबनांगौ
longding,लंदिं
birkongpwra,बिरखंफोरा
derhasarnaiao,देरहासारनायाव
gwmanangdwng,गोमानांदों
benggiripwranw,बेंगिरिफोरानो
jaifwrha,जायफोरहा
crop,क्रप
baganni,बागाननि
certer,सार्टार
hadotgirini,हादतगिरिनि
bakrianw,बाख्रियानो
sondernaini,सन्देरनायनि
naigrwnw,नायग्रोनो
kardingasinw,खारदिंगासिनो
kohora,कहरा
danpainakwo,दानफायनाखौ
gakwywini,गाखोयैनि
samsul,सामसुल
bahaijadwng,बाहायजादों
aiffaao,आइफाआव
ghatusim,धातुसिम
somdevaa,समदेबआ
linghordwngmwn,लिंहरदोंमोन
swmjikangnaini,सोमजिखांनायनि
bujumbura,बुजुमबुरा
konthaikownw,खन्थायखौनो
daimaryboro,दैमारीबर
jwmnai,जोमनाय
kolejni,खलेजनि
dalangpwrni,दालांफोरनि
labwlai,लाबोलाय
khwnthadwngmwn,खोन्थादोंमोन
chubbani,चुब्बानि
gwswrhwnai,गोसोरहोनाय
duliajan,दुलियाजान
dpr,डिपिआर
deblobment,डेब्लबमेन्ट
khaifaya,खाइफाया
dabojderbaodwng,दाबजदेरबावदों
basayw,बासायो
hwbtagra,होबथाग्रा
cust,कास्ट
lajinanangwoni,लाजिनानांगौनि
manindar,मनिन्दर
upadhyayni,उपाध्याइनि
lwgwng,लोगों
jokomjanaipwrni,जखमजानायफोरनि
churse,चार्स
begorfwrni,बेगरफोरनि
bwnnanwi,बोन्नानै
sibinayao,सिबिनायाव
domestic,दमेस्टिक
besorgaon,बेसरगांव
maithaianw,माइथायानो
linghoralasainw,लिंहरालासेनो
clubasw,क्लाबआसो
dhwrwmgurupwrabw,धोरोमगुरुफोराबो
jwogahwpinnw,जौगाहोफिन्नो
obamaaa,अबामाआ
jaobai,जावबाय
pandainwsw,फान्दायनोसो
basumatarikhwo,बसुमथारिखौ
sebseywinw,सेबसेयैनो
gwjwnti,गोजोनथि
gwoswamiya,गौस्वामिया
gwkrwi,गोख्रै
jipi,जिपि
dwlwasw,दोलोआसो
bwraonw,बोरावनो
rwganaini,रोगानायनि
sankhantipwra,सानखान्थिफोरा
ekordoniprai,एकर्दनिफ्राय
talukdara,थालुकदारा
dwonai,दौनाय
saraksa,साराक्सा
pragjywtis,प्रागज्योतिस
bwhwiklaibwnai,बोहैख्लायबोनाय
specialis,स्पेसियेलिस
mapiyakwo,माफियाखौ
jahid,जाहिद
maobitangkipwrao,मावबिथांखिफोराव
wnkainaikwo,ओनखायनायखौ
kalarkwo,खालारखौ
batsmanfwra,बेटसमेनफोरा
mwswofwra,मोसौफोरा
raokwobw,रावखौबो
suting,सुथिं
bigyan,बिगियान
talukdar,तालुकदार
nujanai,नुजानाय
dongfaywblabw,दंफायोब्लाबो
borminghamni,बर्मिंहामनि
nirbhi,निर्भि
albertyjwng,एलबार्टीजों
sompotipwrkwo,सम्फथिफोरखौ
twikangnaini,थैखांनायनि
dhing,धिं
hadwrsapwrnw,हादोरसाफोरनो
hebnai,हेबनाय
subungswdrwm,सुबुंसोद्रोम
fungaosw,फुंआवसो
lubwibaodwngmwnblabw,लुबैबावदोंमोनब्लाबो
kwobjanaiao,खौबजानायाव
tarpwrkwo,थारफोरखौ
sinaimwni,सिनायमोनि
barnw,बारनो
garifwrkwo,गारिफोरखौ
gwdannw,गोदाननो
gabjridwng,गाबज्रिदों
dhwnkwo,धोनखौ
mulugswnglwngsalipwra,मुलुगसोंलोंसालिफोरा
lirtum,लिरथुम
lanangwkwo,लानांगोखौ
hwhwnaya,होहोनाया
hadorari,हादरआरि
dapungjasigwn,दाफुंजासिगोन
buddhijwng,बुद्धिजों
swlwngbwakwi,सोलोंबोआखै
komaikw,खमायखो
hatigetao,हाथिगेटआव
swhwrniprai,सोहोरनिफ्राय
englandao,इंलेण्डआव
kwndwa,खोन्दोया
nuywbla,नुयोब्ला
swlayakwi,सोलायाखै
rajkantisw,राजखान्थिसो
borsobha,बरसभा
najanangdwngmwn,नाजानांदोंमोन
reba,रेबा
ghontasw,घन्टासो
hwalaswinw,होआलासैनो
asmitaya,आसमिताया
ceint,सेइन्ट
bhardwajnw,भारद्वाजनो
maibang,मायबां
swrjilu,सोरजिलु
mohokumakwo,महकुमाखौ
bihordwngmwn,बिहरदोंमोन
fengnw,फेंनो
jatainipraibw,जाथायनिफ्रायबो
jogainaini,जगायनायनि
sorbanond,सरबानन्द
gonaitibai,गनायथिबाय
jalye,जालये
envasement,इन्भेसमेन्ट
kamsatka,कामसातका
dabiao,दाबिआव
btat,बिटिएटि
moripur,मरिपुर
tangpinnai,थांफिन्नाय
gakwnanwi,गाखोनानै
dhwniblabw,धोनिब्लाबो
mwngasinwmwn,मोनगासिनोमोन
kejriwalgwdan,केजरीवालगोदान
palangimwnkwo,फालांगिमोनखौ
tanalai,थानालाय
rajabita,राजाबिटा
swrji,सोरजि
dotma,दतमा
anjimapwra,अनजिमाफोरा
collegefwrao,कलेजफोराव
rannaiabw,रान्नायाबो
sanjibrwi,सानजिब्रै
arwgwswm,आरोगोसोम
wnswlpwrnipraibw,ओनसोलफोरनिफ्रायबो
rateao,रेटआव
mohilarini,महिलारिनि
sansriah,सानस्रिआ
binepisarispwrni,बिनेफिसारिसफोरनि
twinangowmwn,थैनांगौमोन
lajipwnangbwdwng,लाजिफोनांबोदों
sirise,सिरिसे
minitaiya,मिनिथाइया
chanter,चेन्टार
hwlangnangwn,होलांनांगोन
gamiaripwrkwo,गामियारिफोरखौ
onjamima,अन्जामिमा
tisonpinnai,थिसनफिन्नाय
hutrudnaikwo,हुथ्रुदनायखौ
majhbad,माझबाद
banderdewa,बान्देरदेवा
sukendu,सुकेन्दु
maratapwra,माराथाफोरा
kudrisarnanwi,खुद्रिसारनानै
wlwisrw,ओलैश्रो
jhuhani,झुहानि
mwndwngbla,मोनदोंब्ला
pwrmaidwngmwn,फोरमायदोंमोन
korajharao,कराझारआव
gaoha,गावहा
nojahwjanai,नजाहोजानाय
thunlaiprao,थुनलाइफ्राव
swdwbtiyanw,सोदोबथियानो
gwswkanglayao,गोसोखांलायाव
dwitaihorw,दैथायहरो
kobnwi,खबनै
nutaini,नुथायनि
bwisagu,बैसागु
pwjwokanghwnanwi,फोजौखांहोनानै
alasifwrni,आलासिफोरनि
lwgwbadi,लोगोबादि
upadhyaya,उपाध्याया
begolog,बेगलग
hinangwn,हिनांगोन
danpai,दानफाय
gwjwnnanwi,गोजोननानै
taywblal,थायोब्लाल
garipwrkwo,गारिफोरखौ
swdwbtiya,सोदोबथिया
jiska,जिसका
jwogababnw,जौगाबाबनो
nangtargwn,नांथारगोन
broiler,ब्रयलार
bijirsongrapwrni,बिजिरसंग्राफोरनि
khunghwinaini,खुंहैनायनि
nangnaikwobw,नांनायखौबो
banerjeeya,बेनार्जीआ
bepwrnw,बेफोरनो
aodebjit,आवदेबजित
palangiyaripwrni,फालांगियारिफोरनि
dwnnaikwo,दोन्नायखौ
pejennanwi,पेजेन्नानै
bwiswmutiyari,बैसोमुथियारि
kajolgaoni,काजलगावनि
dwndwng,दोनदों
jennaimani,जेन्नायमानि
residenceah,रेसिडेन्सिया
gariywinw,गारियैनो
morigaoao,मरिगावआव
stockholmao,स्टकहमाव
gosongtanangwn,गसंथानांगोन
jwoma,जौमा
halmira,हालमिरा
jwbtamwn,जोबथामोन
rangkantipwra,रांखान्थिफोरा
swngkarinaikwo,सोंखारिनायखौ
ketegorini,केटेगरिनि
kamatapurni,खामातापुरनि
biharao,बिहाराव
gwrwbti,गोरोबथि
kungtaikantini,खुंथाइखान्थिनि
hayini,हायिनि
gwrwbjlaywiao,गोरोबज्लायैआव
injurpwrkwo,इन्जुरफोरखौ
dwidengiripranw,दैदेनगिरिफ्रानो
jwmpwrao,जोमफोराव
somjwng,समजों
gwsarnw,गोसारनो
mwnnaijwng,मोननायजों
lilance,लाइलेन्स
lakhpati,लाखपति
fanjabai,फान्जाबाय
swopwidwngmwn,सोफैदोंमोन
pisaifwrjwng,फिसाइफोरजों
falidw,फालिदो
oparetorkwo,अपारेतरखौ
beteliyenpwrkwo,बेतेलियेनफोरखौ
valleyniprai,भेलिनिफ्राय
jilapwrnikwo,जिलाफोरनिखौ
decemberao,दिसेम्बरआव
enterprisejet,इन्टारप्राइजेज
lamakwo,लामाखौ
nwgwrpwr,नोगोरफोर
