frental,فرنٹل
lomajang,لوماجنگ
inqilat,انقلات
vanus,ووٛنُس
aamyen,آمین
jhanjono,جھنجونو
lakhana,لکھانا
samjhanahogake,سمجھاناہوگاکہ
gyur,گیوٗر
bandarkardiya,بندرکردیاہ
nakaad,نقاد
dastiya,دستیا
treshe,تریشہِ
dhandaan,ڈھنڈان
lagaewith,لگٲوِتھ
sringrishmali,سرینگرشمالی
tabqeh,طبقہٕ
inkamusalman,انکامسلمان
tawpateh,تَوٕپَتہٕ
cosmpolatenism,کسمپولیٹنزم
nadhaal,نڈھال
kinmuth,کُنمتھ
myen,میٲنۍ
hamko,ہمکو
khezer,خضر
heqikatan,حقیٖقتن
copention,کوپنشن
paramedical,پیرامیڈیکل
eshqe,عشقِہ
vashgantan,واشگنٹن
sisilas,سلسلس
kakirdarnbharahi,کاکردارنبھارہی
yithi,یِتھہِ
almejahireen,المجاہرین
balaweriya,بلاوریہ
thewith,تھٔوِتھ
tagaan,تگان
karansi,کرنسی
mehfile,محفلہٕ
aashan,آسہن
vyetar,وٮ۪تر
teqefti,تقافتی
kasamnakranapadtahoga,کاسامناکرناپڑتاہوگا
sartholi,سرتھولی
nasaanat,نسانت
kobeemar,کوبیمار
tselith,ژٔلِتھ
hunozadal,ہنوزدل
manata,مناتا
taem,تٔمۍ
akbarlon,اکبرلون
muhavron,محاوروں
chhatraal,چھترال
mahirat,ماہرت
karnajas,کرناجس
yikwate,یِکوٹہٕ
muhqiqov,مُحقِقو
maqbuli,مقبوٗلِ
dotrafe,دوطرفہ
kunwuhmi,کُنوُہمہِ
kahakashatkaron,کہاکاشتکاروں
tajrubuk,تجربُک
zawaluq,زوالُک
paristan,پرستارَن
awladi,اَولادٕ
basleri,بسلیری
sardiyon,سردیوں
corproject,کارپروجیکٹ
pretshaan,پرٛژھان
argaam,ارگام
tooir,توٗرۍ
doctormohammad,ڈاکٹرمحمد
nigaare,نگاری
sirif,صِرِف
nihana,نہانا
naev,نٲو
codinator,کوڈینیٹر
osrenkot,اوسرنکوٹ
votlemet,وۄتلیمٕتۍ
sarjenhar,سرجنہار
obesi,اوبیسی
palangarh,پلنگڑھ
psychiatrist,سیکاٹرسٹ
renyg,رنگۍ
samordhan,سموردھن
jumles,جُملس
vuchto,وُچھتَو
berith,بٔرتھ
vamaksud,ومقصود
nakadatas,نقادتَس
duuhe,دّوٗہہ
bachelaras,بیچلرس
kyanvi,کیانوی
shahishter,شہشتر
lakhvaat,لکھوات
wehdaaniyat,وحدانت
hekon,ہٮ۪کون
spoliya,سپولیا
shakhs,شخٕص
patrara,پترارا
loanas,لونس
banow,بنوو
retahard,ریٹاہرڈ
radwadeba,ردوادبا
khaelik,خٲلِق
harpiyas,ہرپیس
demandz,ڈیمانڈز
jhalsaz,جھلساز
ponchhbar,پونچھبار
pheil,پھٔلۍ
misterik,مسٹرک
sheeshe,شیٖشہٕ
aamil,عامل
tolna,تولنا
alawali,الاولی
planarz,پلانرز
parmol,پرمول
phedahat,پھڑاہٹ
masjadas,مسجدس
votlemits,وۄتلیمٕژ
mutadadpamaliyon,متعددپامالیوں
ayitan,آیتَن
telmi,تلمیع
kalmekaran,قلمکارن
krishnapur,کرشناپور
takhlikas,تخلیٖقَس
rashtar,راشٹر
vajudas,ووٚجوٖدس
meve,میوٕ
perdocterjavedrahi,پرڈاکٹرجاویدراہی
aksariyatas,اکثریتس
awrazdawaji,اورازدواجی
tsodehmi,ژۄدٲہمہٕ
huyn,ہوٗنۍ
tashrikh,تشریخ
khosoosiyath,خصوٗصِیتھ
badqisti,بدقستی
achre,اچھرٕ
kawapnadeshman,کواپنادشمن
khabreham,خبرہم
mukhtarhoga,مختارہوگا
fajras,فجرس
orgehra,اورگہرا
raapan,راپن
istikhar,استخار
paiw,پٲوۍ
kanklyoz,کنکلیوز
kemen,کیٚمٮ۪ن
phirne,پھِرنہٕ
bharlog,بھرلوگ
wethe,ویٚتھٕ
sanghem,سنگھم
samjene,سمجنہٕ
kamzuar,کمزور
taqreero,تقریرو
vetsnas,وَژنَس
restoration,ریسٹوریشن
hardap,ہردپ
tashan,تشن
headmasters,ہیڈماسٹرس
chalekee,چالٲکی
hyekev,ہٮ۪کَو
anolan,انولن
jhadkhandki,جھاڑکھنڈکی
domengo,ڈومنگو
nehje,نٔہجہِ
ifhaad,افہاد
raqab,رقب
meruzen,معروضن
scoter,سکوٹر
janibadar,جٲنبدار
karaal,کرال
yatenkhwahon,یاتنخواہوں
mubarakh,مُبارک
janol,جنول
andaar,اندار
sharf,شرٛپھ
panoli,پنولی
bichaan,بچان
kotaal,کوٹال
bamutaabik,بمطابق
porez,پوریز
aasi,أسۍ
melmiyan,ملمین
rakshaada,رکشادہ
batlesh,بتلیش
doctorbhem,ڈاکٹربھیم
havne,ہاونہٕ
jonojavan,جونوجوان
baniyat,بنیت
totam,توٚتام
badzaat,بدذات
orkhalo,اورخالو
sepdus,سپدُس
wanni,وَننہِ
alstrong,السٹرونگ
filtration,فلٹریشن
commination,کمینیشن
phampliomut,پھانپلیومُت
istiqbaliya,استقبالیہ
munazirath,مناظرتھ
jantermenter,جنترمنتر
alaihema,علیہما
factorto,فیکٹرتو
tyuth,تیٚتُھ
tashrefi,تشرفی
istipalon,استپالوں
surakh,سُراخ
drabukwan,درابوکوان
networkez,نیٹورکز
kadwahat,کڑواہت
apmi,اپمی
teverikh,توٲریٖخہ
doyim,دوٚیِم
amreeka,امریکا
kunow,کُنو
munazir,مناظر
masteras,ماسٹرس
gharaas,گھراس
afsirfot,افسرفوت
dafnadiyajatah,دفنادیاجاتاہ
balmuqabil,بالمقابل
egzium,ایگزیم
shaaz,شاز
sarabhar,سرابھار
banawun,بناوُن
dhadkat,دھڑکت
chandna,چندنا
alwazeh,الواضح
cological,کولوجیکل
vavadh,واودھ
tajrubaetee,تجرُبٲتی
mafah,مفاہ
karvun,کروُن
yakso,یکسو
expension,ایکسپینشن
baseri,بصری
jiyaparda,جیاپردا
mardukhwatian,مردوخواتین
ehja,اہجا
lalchok,لالچوک
buzergewaras,بزرگوارس
ektriyas,ایکٹریس
membermohammad,ممبرمحمد
sericulture,سریکلچر
badhaal,بڈھال
seki,سیٚکِہ
sapodmot,سَپُدمُت
laraan,لاران
lekshan,لیکشن
dewaal,دیوال
madaal,مدال
mambarmantkhab,ممبرمنتخب
doctorgalzar,ڈاکٹرگلزار
pardeshan,پردیشن
kyankar,کیانکار
tesindis,تسٕندِس
jhalsna,جھلسنا
shahrah,شاہراہ
rhythm,رِدٕم
tarfeh,طرفہٕ
tarukh,تارُکھ
haqeeqatkis,حقیٖقتکس
hainavarkasi,ہیںاورکسی
tehfif,تحفیف
yefward,یفورڈ
hazraatan,حضراتن
bechav,بچاو
maedi,مٲدی
arrehman,الرحمان
gulgoz,گلگوز
malzom,ملزوم
gumnewit,گُمنٲوِتھ
pervee,پٲروی
sadrulhaaj,صدرالحاج
ikhtisar,اِختصار
gaz,غز
theterz,تھیٹرز
anker,انکر
albaad,الباد
amreek,امریک
hyokmot,ہیوٚکمُت
hoslan,حوصلن
kajholi,کجھولی
kuathen,کۄٹھٮ۪ن
vuniuk,وُنیُک
leaderchohdri,لیڈرچوہدری
controled,کنٹرولڈ
parjenesh,پرجنیش
raftan,رفتن
orkeepetal,اورکیپیٹل
kakhof,کاخوف
neshan,نشان
kohas,کۄہس
mawaqif,مواقف
vichith,وچھِتھ
kawabhara,کوابھارا
sedaan,سیدان
tankeedas,تنقیٖدس
trending,ٹرینڈنگ
afraadbhi,افرادبھی
musibat,مصیبت
walterheb,والترہیب
benawnuk,بناونُک
kirdarper,کردارپر
myandad,میانداد
istifa,استعفا
bakhshav,بخشَو
zahirkardi,ظاہرکردی
bharporiya,بھرپوریہ
lopara,لوپارا
babasar,بابصر
sheltrektas,شیلٹرکٹس
dashno,دشنو
vamanzorkohli,ومنظورکوہلی
kapaa,کپا
khususiyets,خصوٗصِیٔژ
riyastee,ریاستی
nazuq,نوٗزُک
lamwa,لموا
liyagiya,لیاگیاہ
andas,اندس
baasan,باسان
kunmay,کُنمٚے
gaarg,گارگ
hechnech,ہیٚچھنٕچہ
waatun,واتُن
jadojahad,جدوجہد
jalyoski,جالیوسکی
sarhadkhon,سرحدخون
bandpada,بندپڑا
teisa,تیسا
maarhah,مارہاہ
pona,پونا
panpan,پنپن
nyokal,نیوکل
kahadgeri,کہاڈگری
vaise,ویسے
danishmandane,دانشمندانہ
zeew,زیٖو
sarhaya,سرہایا
nanpa,نانپا
kahakehjo,کہاکہجو
ehmedposwaal,احمدپوسوال
bharsargarm,بھرسرگرم
yev,یَو
pandwan,پانٛڈون
kasmiyk,قسمٕکۍ
ahdeedarjiyas,عہدیدارجیس
professorsenj,پروفیسرسنج
reconditioner,رکنڈیشنر
saknee,سکنی
zene,زیٚنہ
watnich,واتٕنچ
wothrowun,وۄتھرووُن
sarnaam,سرنام
tharwa,تھروا
mahkaya,مہکایا
vayne,واینہ
bavatshindyan,باؤژہٕندٮ۪ن
wanrawith,ؤنِرٲوِتھ
tawiz,تٲویٖز
maliyat,مالیات
rogram,روگرام
manaryo,مناریو
chhus,چھسُ
banayajas,بنایاجس
teth,ٹیٹھ
baristi,برستی
karnomut,کرنوومُت
rectrekshmeer,ریکٹرکشمیر
talbaan,طلبان
mando,مندو
hawajaski,ہواجسکی
kathela,کٹھیلا
lekhit,لیٚکِھتھ
taqribabiyas,تقریبابیس
jodhpoori,جودھپوری
bhagwasarkar,بھگواسرکار
ehmedeban,احمدبن
dalar,ڈالرٕ
cholangakha,چولنگکھا
archology,آرکالوجی
tsheraawaan,ژھراوان
yasrang,یسرنگ
kharebi,خرٲبی
alkadus,القدوس
pampree,پمپری
mukamas,مقامَس
anandej,آنندج
zamet,زامٕتۍ
yogamuqablon,یوگامقابلوں
intizarkiya,انتظارکیا
vaidvan,وٮ۪دوان
karona,کرونا
makhmaeyl,مخمٔلۍ
gadgedati,گڑگڑاتی
daaraal,دارال
aalosi,آلوسی
wesith,ؤسِتھ
chhuni,چھُنہ
kamuqasadmuqami,کامقصدمقامی
taqdiyas,تقدیس
wafoodan,وفودن
khatraab,خطراب
doctorsandep,ڈاکٹرسندیپ
dilayah,دلایاہ
hateh,ہتہٕ
tavareekhi,تواریخۍ
guzremit,گُذریمٕتۍ
marasiyon,مراثیوں
nishestend,نشستند
mehkum,محکوٗم
jhanjhodkar,جھنجھوڑکر
vaatnas,واتنَس
parnaw,پرناو
rewaituk,روایتُک
munsefi,منصفی
zane,زٲنہٕ
samandri,سمندری
methadology,میتھاڈالوجی
vizine,وِزِنہٕ
amyi,امیہ
amapoz,اماپوٚز
safoof,صفوف
inspecation,انسپکیشن
dushwarho,دشوارہو
madrekashi,مدرکشی
doctorik,ڈاکٹرک
kojanan,کوجانن
sadarmantkhab,صدرمنتخب
vuhur,ووٚہر
otaam,اوٚتام
commissionerkeshmeer,کمشنرکشمیر
kochhodna,کوچھوڑنا
muqadas,مقدس
parhavajan,پرہواجن
jonazak,جونازک
banjuman,بنجمن
bashmol,بشمول
yembir,یمبرۍ
yeyth,یِتھۍ
mutanisar,متنثر
hakmo,حکمو
rotri,روٹری
chhelith,چھٔلِتھ
kodrati,قۄدرتہٕ
sangrama,سنگراما
kashaan,کاشان
vuchhmets,وُچھمٕژ
charandep,چرندیپ
sehespital,سہسپتال
accredition,ایکریڈیشن
garay,گرَے
hihur,ہِہُر
waesil,وٲصل
mukhaetib,مخٲطب
kharajat,خراجات
shoch,شوچ
pakistaane,پٲکستانہِ
parmela,پرملا
langeya,لنگیا
kasbas,قصبس
votlaevith,وۄتلٲوِتھ
ikhtilefi,اختلافی
wadamat,ودامت
emyi,أمۍ
shakam,شکم
jeret,جرأت
atsaan,اژان
saansar,سانسر
garnaam,گرنام
alkab,اَلقاب
kofnanishal,کوفنانشل
chy,چھٚے
karwalo,کروالو
aajezi,عاجزی
chhum,چھُم
wuchowte,وُچھوتہٕ
vatyar,وتیار
gatshekh,گژھکھ
saped,سَپٕدۍ
keyil,قٲیل
rajindergehlot,راجندرگہلوت
salarazam,سالاراعظم
adharmagarbi,ادھرمغربی
takfar,تکفر
manmoheni,منموہنی
azadas,آزادس
almashhoor,المشہور
vaktan,وقتن
tiotions,ٹیوشنس
wothune,وۄتھنہٕ
saateh,ساعتہٕ
onch,اونچ
yoj,یوج
rozgaardin,روزگاردین
persenas,پرسنس
phirchindmah,پھرچندماہ
zardashte,زردشت
liar,لِیر
wabhrat,وابھرت
shenakhat,شناخت
changas,چنگس
barhamaster,برہماستر
paghla,پگھلا
kensih,کٲنسِہ
koleshan,کولیشن
balbalo,بلبلو
kaklaam,کاکلام
apare,اپارٕ
mashookas,معشوقس
gandhro,گندھرو
lazmiya,لازمیہ
datol,ڈٹول
khesuusiyets,خوٚصوٗصِیَژ
istimalas,اِستمِالس
alshabli,الشبلی
ronaal,رونال
nomoone,نوٚموٗنہٕ
presher,پریشر
ikhtiyarkili,اختیارکلی
garfield,گارفیلڈ
amreekiyon,امریکیوں
fatochogan,فتوچوگان
irtiqahech,اِرتقاہٕچ
arooqi,عروقی
maaley,مالے
zonmut,زونمُت
hayaati,حیاتی
bhagtav,بھگتو
morpheme,مارفیٖم
mutranand,مترانند
entrepreneurship,انٹرپرنیورشپ
tshatas,ژھَٹس
majburion,مجبوریوں
qitabo,کتابو
sharas,شعٮرس
daabhat,دابھٹ
kepikas,کیپیکس
famfley,پھانپھلے
dadraan,ددران
mucorma,میوکورما
kashteweyr,کشتوارۍ
yilar,یلر
achanaq,اچانک
rozadakarah,روزاداکارہ
maqad,مقد
mohkeeko,محقِقَو
waziyah,واضیٚح
pyaras,پیارس
tuleth,تُلیتھ
pardarger,پردارگر
marchak,مرچک
asmits,ٲسمٕژ
gowuy,گۄویِہ
ikhbariyat,اخباریت
wasniyat,وسنیت
harkaat,حرکات
nigarprem,نگارپریم
commissionerkasi,کمشنرکسی
masihas,مسیٖحس
bachich,بچچ
waketi,واقٲتی
dafkirasalami,دفکراسلامی
alaamtan,علامتن
rishwarat,رشورت
wahbaab,واحباب
schoolas,سکوٗلس
duadas,دۄدس
shinaesi,شنٲسی
taqath,طاقتھ
sarfehrist,سرفہرست
khankaan,کھنکان
habletishan,ہبلیٹیشن
neyaezi,نیٲزی
bazarband,بازاربند
iljahid,الجاہد
kinh,کینٛہہ
rewish,رٔوِشہِ
gaade,گاڑٕ
bhonesh,بھونیش
wanun,وَنُن
nakalog,نکالوگ
khesith,کھٔسِتھ
tsuik,ژُکۍ
sanjek,سنجک
pojan,پوجن
vichhun,وچھُن
alaal,الال
parshamil,پرشامل
arwaan,اروان
bharrah,بھررہ
lyekhnomut,لیکھنوومُت
helmentan,ہیلمنٹن
paknawne,پکناونہٕ
bezaar,بیزار
gayeh,گٔیِہ
makane,مَکانہٕ
tihenzi,تِہنٛزِ
diyaset,دیاست
moqas,موقس
intiza,انتظا
behalat,بحالت
shavachariya,شواچاریہ
chargliyar,چارگلیار
takhleeqi,تخلیٖقی
vaseli,وسیلہ
kamenti,کمنٹی
sarabh,سربھ
kahazker,کہاذکر
lagwa,لگوا
bemaari,بٮ۪مارِ
mudni,موٗدنہٕ
dawaal,دوال
khoshik,خۄشک
nidiadwala,نڈیاڈوالا
arduhindustan,اردوہندوستان
ahadband,عہدبند
muzuatan,موضوٗعاتن
domer,ڈومر
yekya,یِکیٚا
dadla,ددلا
shumarandkeri,شمارندکٲری
tihinz,تِہنزِ
saraal,سرال
renaldz,رینالڈز
itnamusalmanon,اتنامسلمانوں
wijen,وِجن
futis,پُھٹِس
rectorschool,ریکٹرسکول
admenistration,اڈمنسٹریشن
jawanang,جواننگ
temeerati,تعمیرٲتی
naarsingh,نارسنگھ
videography,وڈیوگرافی
dekh,دیکھ
gadaron,غداروں
ardukwahmiyat,اردوکواہمیت
sartifiket,سارٹفیکٹ
steady,سٹیڈی
plehneth,پلہنتھ
vatnavin,واتناوٕنۍ
tamla,تملا
tamamiyat,تمامیت
pravarkas,پراورکس
monkra,مونکرا
leadertha,لیڈرتھا
laanchg,لانچگ
harsemran,ہرسمران
lisaan,لسان
factories,فیکٹریز
sarve,سارِوٕ
baawas,ہاوس
phanilne,پھانھلنہٕ
aktaa,اکتا
soger,سوگر
garav,گرَو
chenachi,چناچہ
ithadiyon,اتحادیوں
karpata,کرپاتا
zuteyn,زُتِنۍ
iqaaraab,اقاراب
narendri,نریندری
pankod,پنکوڈ
mayasar,میسر
bhadravti,بھدراوتی
musajidas,مساجدس
tabahi,تبٲہی
tadfini,تدفینی
yekjehti,یکجہتی
tamlohaal,تملوہال
pahadiyon,پہاڑیوں
badhatah,بڑھاتاہ
shamsy,شامسےٕ
lanjo,لنجو
naseb,نصب
hyderabadmehmanan,حیدرآبادمہمانان
parkang,پارکنگ
spensword,سپنسورڈ
aleman,عالمَن
agreham,اگرہم
tiuth,تیوٚتھ
porter,پورٹر
noj,نوج
jurmich,جُرمچٕ
barabara,برابرا
taqatvar,طاقتور
lankeng,لنکنگ
chinas,چیٖنس
gadran,گدرن
krozmiza,کروزمیزا
tarkeb,ترکیٖب
ishtiyaaq,اشتیاق
firakhid,فراخد
rozgaarb,روزگارب
qabze,قبضہٕ
karnachahtahon,کرناچاہتاہوں
kamishnergronderjit,کمشنرگروندرجیت
lalwa,للوا
matas,مَتَس
ardana,اردنا
yithei,یِتھے
chakhta,چکھتا
musalmiyan,مسلمین
pravnas,پرٛاونَس
qenuj,قنوٗج
jazbas,جذبس
chandnarang,چندنارنگ
distracted,ڈسٹریکٹڈ
aawazko,آوازکو
dehyul,دٔہیُل
barki,برکہٕ
meyar,معیار
kashmirmas,کشمیرمس
yehooyd,یہوٗدۍ
hakumatas,حکوٗمتَس
kamishnardaftarak,کمشنردفترک
hechnawne,ہیچھناوٕنۍ
mazmunas,مضمونس
ibrahimof,ابراہیموف
almuqadad,المقدد
foman,فومن
dablyoz,ڈبلیوز
wyetran,وٮ۪تران
kapigam,کاپیغام
khaata,کھاتا
goroshri,گوروشری
deenee,دیٖنی
pranyav,پرٛانٮ۪و
awaham,عواہم
zalni,زالنہٕ
tawereekh,توٲریخ
vast,وسط
vahrevith,وہرٲوِتھ
inkarkardiya,انکارکردیا
abdulhad,عبدالحد
haane,ہانہ
zostan,زوستان
wasilan,وسیلن
parjapati,پرجاپتی
barhamal,برحمل
kadrejezbat,قدرجذبات
lawaniyahiyas,لوانیاہیس
judishal,جوڈیشل
laayak,لایَق
risana,رسانا
kayinaatuk,کایناتُک
somavarko,سوموارکو
aagri,آگری
sanaabal,سنابل
refreshercouras,ریفریشرکورس
osmut,اوسمت
batas,بَٹَس
pararshot,پررشوت
paaneh,پانہٕ
gajranwale,گجرانوالہ
hendeyv,ہندٮ۪و
ehtijajuk,احتجاجُک
washoras,وشورس
tulneh,تُلنہٕ
yethee,ییٚتھۍ
geyr,گٔرۍ
rampol,رامپول
marab,مرب
kaksarat,کاکثرت
dastiyon,دستیوں
leadersbhash,لیڈرسبھاش
achren,اَچھرن
karnashamil,کرناشامل
kahichra,کاہچرا
bavatshindan,باؤژہٕندٮ۪ن
tizadat,تضادات
doctorsamon,ڈاکٹرسامون
varey,وَرٲے
eesikh,ٲسِکھ
edhiran,ادھیرن
rados,ردوس
karliyajata,کرلیاجاتا
muqarez,مقرض
garp,گرپ
naevmets,نٲومژ
naseeme,نسیمہٕ
transporters,ٹرانسپورٹرز
tarkee,ترکیبی
tulaan,تُلان
gevun,گٮ۪وَن
docharhonapadtah,دوچارہوناپڑتاہ
yoras,یورس
ratne,رَٹنہٕ
hasiniyat,حسینیت
tareekas,طریقس
pridational,پرایڈیشنل
tajrubaeti,تجرُبٲتی
zaminuk,زمیٖنُک
numberan,نمبرن
chhoknas,چھۄکنس
dastikaar,دستکار
harde,ہردٕ
trangabhi,ترنگابھی
kohaad,کوہاڑ
tayinath,تعیناتھ
pashkal,پشکل
jamaliya,جمالیہ
tashkil,تشکیل
kakarobar,کاکاروبار
edentifiction,ایڈنٹیفکشن
khalona,کھلونا
maadi,مادی
orpaali,اورپالی
merkezee,مرکٔزی
daraamadki,درآمدکی
sadra,صدرا
biakh,بیاٛکھ
khuryuk,کھُریُک
firaziyaduser,فرازیادوسر
thape,تھپہٕ
jenibdery,جٲنِبدٲری
prevmits,پرٲومٕژ
ikraam,اکرام
zaruf,ظروف
baraqes,برعکس
mutzad,متضاد
lyekhmet,لیکٚھمٕتۍ
batoran,بٹورن
markazak,مرکزک
raahet,راحت
tajdad,تجدد
darshaya,درشایا
oxumator,آکسیومیٹر
numagroh,نماگروہ
dabheyl,ڈابھیل
greading,گریڈنگ
adakarnapadta,اداکرناپڑتاہ
rizahisian,رضاحسین
hiv,ہِو
fakharhasel,فخرحاصل
oseedna,اوسیدنا
parmazhab,پرمذہب
voin,وۄنۍ
ruupe,روٗپہٕ
kabalatkar,کابلاتکار
afsanas,افسانس
wetshnawne,ویژھناونہٕ
meris,مٔرِس
thol,ٹھۄل
gresh,گریش
roozmets,روٗزمٕژ
sheyraane,شٲعرانہ
sharmesarkiya,شرمسارکیا
shumardi,شماردی
egzemption,ایگزمپشن
chindrajiyat,چندرجیت
naagbal,ناگبل
badsurti,بدصوٗرتھ
kodreti,قۄدرتہٕ
kanglal,کنگلال
yezi,یِزِ
iniqadpazirhotah,انعقادپذیرہوتاہ
kenishki,کنشکہ
samani,سامانہ
bayalnas,بیالنس
parkyaja,پرکیاجا
zalham,ظلہم
kehraab,قہراب
jadnachahtah,جڑناچاہتاہ
kyamzaaj,کیامزاج
kangub,کنگب
scard,سکارڈ
nahezrat,ناحضرت
tehreeri,تحریری
gandnawan,گنڈناوان
waryehan,واریِہَن
albarkat,البرکت
giriftarhojat,گرفتارہوجات
gashiravni,گاشراونہٕ
sadruheed,صدروحید
kyajvab,کیاجواب
zeliman,ظٲلِمَن
takhleekan,تخلیٖقن
toj,توج
abutaalib,ابوطالب
labbe,لَبہٕ
naafer,نافر
awsaf,اوصاف
rozseri,روزسری
dunyhech,دُنۍیِہٕچ
benz,ہِنٛز
saeliq,سٲلِک
alamatiyat,علامتیت
haapan,ہاپن
traavne,ترٛاونہٕ
ruqun,رُکُن
pursukun,پُرسکون
jehang,جہانگ
kihyin,کٕہٕنۍ
shagaan,شگان
velis,وٲلس
sarahna,سراہناہ
shardhabharti,شردھابھارتی
maglanon,مغلانوں
nigaran,نِگارن
idakara,اداکارا
mochi,مۄچہِ
saneras,سَنرس
maksadech,مقصدچ
parderjeh,پردرجہ
kazbardast,کازبردست
khodadust,خدادوست
superhabal,سپرہبل
nigraab,نگراب
lakna,لکنا
pyost,پیوست
vuhir,ؤہرۍ
byakh,بیٛاکھ
gharveeran,گھرویران
waserdi,وسردی
gradepow,گریڈپو
paap,پاپ
dastikari,دستکاری
maharishtermolana,مہاراشٹرمولانا
seabnyen,صٲبنٮ۪ن
mukhtelif,مختلف
pankav,پنکو
customa,کسٹما
kokalab,کوکلب
phanphlawan,پھانپھلاوان
leterpesh,لیٹرپیش
methi,مییٹھۍ
akh,اَکھ
oryoteez,اوریوٹیز
kehin,کِہیں
ryewayti,رٮ۪وایتی
thaawni,تھاوٕنۍ
godnechan,گۄڈنِٮچٮ۪ن
