maaraataddu,ಮಾರಾಟದ್ದು
apayavidya,ಅಪಾಯವಿದ್ಯಾ
anumatiyiddu,ಅನುಮತಿಯಿದ್ದು
spatikakkide,ಸ್ಪಟಿಕಕ್ಕಿದೆ
maduvudendo,ಮಾಡುವುದೆಂದೋ
passel,ಪಾಸೆಲ್
vaadisutteve,ವಾದಿಸುತ್ತೇವೆ
buddu,ಬುಡ್ಡು
chatushpathagalannu,ಚತುಷ್ಪಥಗಳನ್ನು
ottottigina,ಒಟ್ಟೊಟ್ಟಿಗಿನ
aagina,ಆಗಿನ
yuvaanaage,ಯುವಾನಾಗೆ
chinosgalannu,ಚಿನೋಸ್ಗಳನ್ನು
pranigalam,ಪ್ರಾಣಿಗಳಂ
vaidyalokavu,ವೈದ್ಯಲೋಕವು
melhotra,ಮೆಲ್ಹೋತ್ರಾ
kapilaya,ಕಪಿಲಾಯ
hedaruvante,ಹೆದರುವಂತೆ
kaltevi,ಕಲ್ತೇವಿ
gadeya,ಗದೆಯ
bharavaseyitti,ಭರವಸೆಯಿಟ್ಟಿ
dampatigoo,ದಂಪತಿಗೂ
bittalpadabeku,ಬಿತ್ತಲ್ಪಡಬೇಕು
koragalannu,ಕೋರಗಳನ್ನು
hotelugalaagive,ಹೋಟೆಲುಗಳಾಗಿವೆ
joshanputra,ಜೋಶನ್ಪುತ್ರ
alavalla,ಅಳವಲ್ಲ
peninsulaadolage,ಪೆನಿನ್ಸುಲಾದೊಳಗೆ
bhrunavondannu,ಭ್ರೂಣವೊಂದನ್ನು
kamaprachodakateyondige,ಕಾಮಪ್ರಚೋದಕತೆಯೊಂದಿಗೆ
sundaravagisidaru,ಸುಂದರವಾಗಿಸಿದರು
mettilerale,ಮೆಟ್ಟಿಲೇರಲೇ
punyatirthakke,ಪುಣ್ಯತೀರ್ಥಕ್ಕೆ
virodhiyenalla,ವಿರೋಧಿಯೇನಲ್ಲ
ilisatodagide,ಇಳಿಸತೊಡಗಿದೆ
spashtapadisuvudu,ಸ್ಪಷ್ಟಪಡಿಸುವುದು
mukarigalalli,ಮುಕರಿಗಳಲ್ಲಿ
soundaryyamendandu,ಸೌಂದರ್ಯ್ಯಮೆಂದಂದು
gumanogu,ಗುಮನೊಗು
nudisadire,ನುಡಿಸದಿರೆ
praantyavende,ಪ್ರಾಂತ್ಯವೆಂದೇ
kalpisuttadeyadaru,ಕಲ್ಪಿಸುತ್ತದೆಯಾದರೂ
nannudi,ನಾಣ್ನುಡಿ
lokomotiv,ಲೊಕೊಮೊಟಿವ್
hageyendu,ಹಗೆಯೆಂದು
underdogs,ಅಂಡರ್ಡಾಗ್ಸ್
gurutmaantukanige,ಗುರುತ್ಮಾಂತುಕನಿಗೆ
pradeshavaagisabeku,ಪ್ರದೇಶವಾಗಿಸಬೇಕು
sahavime,ಸಹವಿಮೆ
vanchanegala,ವಂಚನೆಗಳ
chichester,ಚಿಚೆಸ್ಟರ್
balasuttaaneye,ಬಳಸುತ್ತಾನೆಯೇ
naliniyavara,ನಳಿನಿಯವರ
radioctive,ರೇಡಿಯೊಕ್ಟಿವ್
onahaveyindaagi,ಒಣಹವೆಯಿಂದಾಗಿ
haranavondaralli,ಹರಣವೊಂದರಲ್ಲಿ
raashtaragalige,ರಾಷ್ಟರಗಳಿಗೆ
maravondu,ಮರವೊಂದು
haajaraaguttiddevu,ಹಾಜರಾಗುತ್ತಿದ್ದೆವು
padaviyalle,ಪದವಿಯಲ್ಲೇ
lakshanashaastravannu,ಲಕ್ಷಣಶಾಸ್ತ್ರವನ್ನು
samsthegalaagide,ಸಂಸ್ಥೆಗಳಾಗಿದೆ
durbalavagilla,ದುರ್ಬಲವಾಗಿಲ್ಲ
gutukisuva,ಗುಟುಕಿಸುವ
duvariyuttade,ದುವರಿಯುತ್ತದೆ
euphemis,ಯೂಫೆಮಿಸ್
goupyateginta,ಗೌಪ್ಯತೆಗಿಂತ
pratigalondigina,ಪ್ರತಿಗಳೊಂದಿಗಿನ
inilath,ಇನಿಲಾತ್
taayitandeyara,ತಾಯಿತಂದೆಯರ
bhartiyaguttave,ಭರ್ತಿಯಾಗುತ್ತವೆ
olavu,ಒಳವು
padeyuvude,ಪಡೆಯುವುದೆ
mahamaleyannu,ಮಹಾಮಳೆಯನ್ನು
hogaloobaaradu,ಹೋಗಲೂಬಾರದು
sampoornamma,ಸಂಪೂರ್ಣಮ್ಮ
vyaayaamagaararinda,ವ್ಯಾಯಾಮಗಾರರಿಂದ
ahiyarn,ಅಹಿಯರ್ನ್
himachchaaditavaagide,ಹಿಮಚ್ಛಾದಿತವಾಗಿದೆ
terehanchikondiddaru,ತೆರೆಹಂಚಿಕೊಂಡಿದ್ದರು
khalilur,ಖಲೀಲೂರ್
mantraga,ಮಂತ್ರಗ
jajjihogittu,ಜಜ್ಜಿಹೋಗಿತ್ತು
sinijeevanadalle,ಸಿನಿಜೀವನದಲ್ಲೇ
spurtiyaadavaru,ಸ್ಪೂರ್ತಿಯಾದವರು
shedageri,ಶೆಡಗೇರಿ
srikrishnajayanti,ಶ್ರೀಕೃಷ್ಣಜಯಂತಿ
namageke,ನಮಗೇಕೆ
nirakarisisalu,ನಿರಾಕರಿಸಿಸಲು
giniyiliya,ಗಿನಿಯಿಲಿಯ
naalegalatta,ನಾಳೆಗಳತ್ತ
mooladavarennuvudakke,ಮೂಲದವರೆನ್ನುವುದಕ್ಕೆ
vichaaraviruvudu,ವಿಚಾರವಿರುವುದು
neharuvige,ನೆಹರುವಿಗೆ
uralide,ಉರಳಿದೆ
gurdi,ಗುರ್ಡಿ
kuritta,ಕುರಿತ್ತ
dorekisikottide,ದೊರೆಕಿಸಿಕೊಟ್ಟಿದೆ
belakulla,ಬೆಳಕುಳ್ಳ
abhiyanadde,ಅಭಿಯಾನದ್ದೇ
palnannu,ಪಾಲ್ನನ್ನು
matobba,ಮತೊಬ್ಬ
maaruhogiddarante,ಮಾರುಹೋಗಿದ್ದರಂತೆ
maruladai,ಮರುಳಾದೈ
kashtasukhadalli,ಕಷ್ಟಸುಖದಲ್ಲಿ
machitande,ಮಾಚಿತಂದೆ
eruvudannu,ಏರುವುದನ್ನು
mamsadantaha,ಮಾಂಸದಂತಹ
vishwapurusha,ವಿಶ್ವಪುರುಷ
agocharavaguttare,ಅಗೋಚರವಾಗುತ್ತಾರೆ
officinavarella,ಆಫೀಸಿನವರೆಲ್ಲಾ
uttamavaagisikolluva,ಉತ್ತಮವಾಗಿಸಿಕೊಳ್ಳುವ
kandisuttade,ಕಂದಿಸುತ್ತದೆ
ibbura,ಇಬ್ಬುರ
bukshar,ಬುಕ್ಷಾರ್
kaikollimendu,ಕೈಕೊಳ್ಳಿಮೆಂದು
bidarada,ಬಿದರದ
andukondiddevendu,ಅಂದುಕೊಂಡಿದ್ದೆವೆಂದು
kishan,ಕಿಸಾನ್
thotton,ಥಾಟನ್
appearances,ಅಪಿಯರೆನ್ಸಸ್
powerpack,ಪವರ್ಪ್ಯಾಕ್
saimin,ಸೈಮಿನ್
ashleners,ಅಶ್ಲೆನರ್ಸ್
dhumukona,ಧುಮುಕೋಣ
sanchalakaraada,ಸಂಚಲಕರಾದ
aryam,ಆರ್ಯಮ್
shokataptaraagiddaare,ಶೋಕತಪ್ತರಾಗಿದ್ದಾರೆ
canulation,ಕ್ಯಾನುಲೇಶನ್
hazaaregaagi,ಹಜಾರೆಗಾಗಿ
pratishtitarellaru,ಪ್ರತಿಷ್ಠಿತರೆಲ್ಲರೂ
tochadavanige,ತೋಚದವನಿಗೆ
varadiyaguttiruttave,ವರದಿಯಾಗುತ್ತಿರುತ್ತವೆ
spermikisal,ಸ್ಪರ್ಮಿಕಿಸಲ್
carbohydrate,ಕಾರ್ಬೋಹೈಡ್ರೇಟ್
mugdhabhakti,ಮುಗ್ಧಭಕ್ತಿ
mitiyallirali,ಮಿತಿಯಲ್ಲಿರಲಿ
khiljiyantaha,ಖಿಲ್ಜಿಯಂತಹ
ramachandranahalli,ರಾಮಚಂದ್ರನಹಳ್ಳಿಯ
saadhisuttilladiruva,ಸಾಧಿಸುತ್ತಿಲ್ಲದಿರುವ
nektaare,ನೆಕ್ತಾರೆ
idakottaru,ಇಡಕೊಟ್ಟರು
duraabhyaasagalittu,ದುರಾಭ್ಯಾಸಗಳಿತ್ತು
nelegolluva,ನೆಲೆಗೊಳ್ಳುವ
jaruguttave,ಜರುಗುತ್ತವೆ
kandavarodane,ಕಂಡವರೊಡನೆ
gaadhagolisuttave,ಗಾಢಗೊಳಿಸುತ್ತವೆ
tabbaliga,ತಬ್ಬಲಿಗ
sirigiri,ಸಿರಿಗಿರಿ
huttakke,ಹುತ್ತಕ್ಕೆ
glasugalige,ಗ್ಲಾಸುಗಳಿಗೆ
sugandhabale,ಸುಗಂಧಬಾಳೆ
matanadiddaro,ಮಾತನಾಡಿದ್ದರೋ
brandugalannu,ಬ್ರಾಂಡುಗಳನ್ನು
valiyattan,ವಲಿಯಾತ್ತನ್
spanalli,ಸ್ಪಾನಲ್ಲಿ
anubhagalu,ಅನುಭಗಳು
doddamattadalle,ದೊಡ್ಡಮಟ್ಟದಲ್ಲೇ
consulteral,ಕನ್ಸಲ್ಟರಲ್
avanadaagi,ಅವನದಾಗಿ
dikkettantagide,ದಿಕ್ಕೆಟ್ಟಂತಾಗಿದೆ
aadhaarasthambhavondu,ಆಧಾರಸ್ತಂಭವೊಂದು
uddhaaravaaguvudu,ಉದ್ಧಾರವಾಗುವುದು
lictergalu,ಲಿಕ್ಟರ್ಗಳು
kudduhoda,ಕುದ್ದುಹೋದ
padediddaarashte,ಪಡೆದಿದ್ದಾರಷ್ಟೆ
ganakayantragalige,ಗಣಕಯಂತ್ರಗಳಿಗೆ
varicor,ವ್ಯಾರಿಕೊರ್
tivrategalannu,ತೀವ್ರತೆಗಳನ್ನು
aashcharyachakitaraaguvudu,ಆಶ್ಚರ್ಯಚಕಿತರಾಗುವುದು
haristara,ಹರಿಸ್ತಾರಾ
rangoleyikkalu,ರಂಗೋಲೆಯಿಕ್ಕಲು
shachidevi,ಶಚಿದೇವಿ
kakugalannu,ಕಾಕುಗಳನ್ನು
llavamam,ಲ್ಲವಮಂ
bedarikegella,ಬೆದರಿಕೆಗೆಲ್ಲಾ
kuchorim,ಕುಚೋರಿಂ
anumodisalpattitu,ಅನುಮೋದಿಸಲ್ಪಟ್ಟಿತು
nenapayitendare,ನೆನಪಾಯಿತೆಂದರೆ
prasaaravaaguvudaadare,ಪ್ರಸಾರವಾಗುವುದಾದರೆ
haarisikondaru,ಹಾರಿಸಿಕೊಂಡರು
aacharisuva,ಆಚರಿಸುವ
mitsuru,ಮಿಟ್ಸುರು
alatirabeku,ಅಳತಿರಬೇಕು
sahayadhikari,ಸಹಾಯಾಧಿಕಾರಿ
baligala,ಬಲಿಗಳ
dashtiyinda,ದಷ್ಟಿಯಿಂದ
udupannagi,ಉಡುಪನ್ನಾಗಿ
meksikonnaru,ಮೆಕ್ಸಿಕೊನ್ನರು
varshavaasada,ವರ್ಷವಾಸದ
hadavagiruttave,ಹದವಾಗಿರುತ್ತವೆ
matugaligoo,ಮಾತುಗಳಿಗೂ
crankite,ಕ್ರಾಂಕೈಟ್
