mathanggi,ꯃꯊꯪꯒꯤ
leitengliba,ꯂꯩꯇꯦꯡꯂꯤꯕ
sharmila,ꯁꯔꯃꯤꯂꯥ
numitta,ꯅꯨꯃꯤꯠꯇ
echaakheina,ꯏꯆꯥꯈꯩꯅ
paangthok,ꯄꯥꯡꯊꯣꯛ
chitli,ꯆꯤꯠꯂꯤ
taaloi,ꯇꯥꯂꯣꯢ
iseinachingbaga,ꯏꯁꯩꯅꯆꯤꯡꯕꯒ
manganggi,ꯃꯉꯥꯡꯒꯤ
mannanasu,ꯃꯥꯟꯅꯅꯁꯨ
kheipikpu,ꯈꯩꯄꯤꯛꯄꯨ
takhattana,ꯇꯈꯠꯇꯅ
fahanba,ꯐꯍꯟꯕ
ngashigi,ꯉꯁꯤꯒꯤ
kampi,ꯀꯥꯝꯄꯤ
nakpa,ꯅꯛꯄ
behimian,ꯕꯦꯍꯤꯃꯤꯌꯥꯟ
tarammi,ꯇꯥꯔꯝꯃꯤ
taipangpaalgi,ꯇꯥꯢꯄꯪꯄꯥꯜꯒꯤ
laangonni,ꯂꯥꯡꯑꯣꯟꯅꯤ
keithelakpam,ꯀꯩꯊꯦꯜꯂꯥꯛꯄꯝ
mayollamlen,ꯃꯌꯣꯜꯂꯝꯂꯦꯟ
soviyetki,ꯁꯣꯚꯤꯌꯦꯠꯀꯤ
tenkaappani,ꯇꯦꯟꯀꯥꯞꯄꯅꯤ
italiki,ꯏꯇꯥꯂꯤꯀꯤ
leirakpa,ꯂꯩꯔꯛꯄ
yeinaa,ꯌꯩꯅꯥ
lastik,ꯂꯥꯁꯇꯤꯛ
salaicha,ꯁꯂꯥꯢꯆꯥ
humfumapan,ꯍꯨꯝꯐꯨꯃꯥꯄꯟ
yukaren,ꯌꯨꯀꯔꯦꯟ
epuloi,ꯏꯄꯨꯂꯣꯢ
yonliba,ꯌꯣꯟꯂꯤꯕ
machalsingna,ꯃꯆꯜꯁꯤꯡꯅ
taadaba,ꯇꯥꯗꯕ
thijinbaga,ꯊꯤꯖꯤꯟꯕꯒ
taraal,ꯇꯔꯥꯜ
chapok,ꯆꯥꯄꯣꯛ
khurumphamni,ꯈꯨꯔꯨꯝꯐꯝꯅꯤ
sijinnaraklaba,ꯁꯤꯖꯤꯟꯅꯔꯛꯂꯕ
thabal,ꯊꯥꯕꯜ
yaahounganba,ꯌꯥꯍꯧꯉꯟꯕ
khorilol,ꯈꯣꯔꯤꯂꯣꯜ
saadoklaba,ꯁꯥꯗꯣꯛꯂꯕ
khanglamde,ꯈꯪꯂꯝꯗꯦ
ngakthokli,ꯉꯥꯛꯊꯣꯛꯂꯤ
thaagatli,ꯊꯥꯒꯠꯂꯤ
langi,ꯂꯥꯟꯒꯤ
miyam,ꯃꯤꯌꯥꯝ
kangleilolta,ꯀꯪꯂꯩꯂꯣꯜꯇ
nungsinanaba,ꯅꯨꯡꯁꯤꯅꯅꯕ
ijarel,ꯏꯖꯔꯦꯜ
rodite,ꯔꯣꯗꯥꯢꯠ
bengol,ꯕꯦꯡꯒꯣꯜ
macropus,ꯃꯦꯀ꯭ꯔꯣꯄꯁ
kharousi,ꯈꯥꯔꯧꯁꯤ
hodium,ꯍꯣꯗꯤꯌꯝ
thingjinbi,ꯊꯤꯡꯖꯤꯟꯕꯤ
semnaba,ꯁꯦꯝꯅꯕ
miramdasu,ꯃꯤꯔꯝꯗꯁꯨ
waheidagi,ꯋꯥꯍꯩꯗꯒꯤ
mayaithangba,ꯃꯌꯥꯢꯊꯪꯕ
uba,ꯎꯕ
paangthokhanba,ꯄꯥꯡꯊꯣꯛꯍꯟꯕ
hammaangnale,ꯍꯝꯃꯥꯡꯅꯂꯦ
jioga,ꯖꯤꯑꯣꯒ
samugandaa,ꯁꯃꯨꯒꯟꯗꯥ
lanlonggi,ꯂꯥꯟꯂꯣꯡꯒꯤ
ajatek,ꯑꯖꯇꯦꯛ
pungfaina,ꯄꯨꯡꯐꯥꯢꯅ
hesioda,ꯍꯦꯁꯤꯌꯣꯗ
hakchaangdu,ꯍꯛꯆꯥꯡꯗꯨ
nongpoklomda,ꯅꯣꯡꯄꯣꯛꯂꯣꯝꯗ
pidonba,ꯄꯤꯗꯣꯟꯕ
saktakli,ꯁꯛꯇꯥꯛꯂꯤ
akki,ꯑꯛꯀꯤ
nathanta,ꯅꯊꯟꯇ
toubirakhibasingdu,ꯇꯧꯕꯤꯔꯛꯈꯤꯕꯁꯤꯡꯗꯨ
tamhannaba,ꯇꯝꯍꯟꯅꯕ
singhna,ꯁꯤꯡꯍꯅ
yaaraga,ꯌꯥꯔꯒ
chingngamakha,ꯆꯤꯡꯉꯥꯃꯈꯥ
thariba,ꯊꯥꯔꯤꯕ
meenokka,ꯃꯤꯅꯣꯛꯀ
puthokpani,ꯄꯨꯊꯣꯛꯄꯅꯤ
halwaikhiye,ꯍꯜꯋꯥꯢꯈꯤꯌꯦ
ahomgi,ꯑꯍꯣꯝꯒꯤ
yaaribi,ꯌꯥꯔꯤꯕꯤ
sijiriba,ꯁꯤꯖꯤꯔꯤꯕ
yumsaron,ꯌꯨꯝꯁꯥꯔꯣꯟ
parengsing,ꯄꯔꯦꯡꯁꯤꯡ
loyalakpagi,ꯂꯣꯌꯥꯂꯥꯛꯄꯒꯤ
bharjan,ꯚꯔꯖꯟ
kawaakna,ꯀꯋꯥꯛꯅ
harmitage,ꯍꯥꯔꯃꯤꯇꯦꯖ
kasyagi,ꯀꯥꯁ꯭ꯌꯒꯤ
thingjinduna,ꯊꯤꯡꯖꯤꯟꯗꯨꯅ
rujam,ꯔꯨꯖꯝ
ngamlaktabadagi,ꯉꯝꯂꯛꯇꯕꯗꯒꯤ
pangthoktuna,ꯄꯥꯡꯊꯣꯛꯇꯨꯅ
leitou,ꯂꯩꯇꯧ
chandraghanta,ꯆꯟꯗ꯭ꯔꯘꯟꯇꯥ
saachik,ꯁꯥꯆꯤꯛ
senapatini,ꯁꯦꯅꯥꯄꯇꯤꯅꯤ
paamlakkhi,ꯄꯥꯝꯂꯛꯈꯤ
konthouba,ꯀꯣꯟꯊꯧꯕ
shawom,ꯁꯥꯋꯣꯝ
loitongba,ꯂꯣꯢꯇꯣꯡꯕ
phattabi,ꯐꯠꯇꯕꯤ
numitna,ꯅꯨꯃꯤꯠꯅ
pathap,ꯄꯊꯥꯞ
fabagum,ꯐꯕꯒꯨꯝ
kayaatsingni,ꯀꯌꯥꯠꯁꯤꯡꯅꯤ
eridium,ꯏꯔꯤꯗꯤꯌꯝ
nongsagi,ꯅꯣꯡꯁꯥꯒꯤ
renee,ꯔꯤꯅꯤ
humjillakpada,ꯍꯨꯝꯖꯤꯜꯂꯛꯄꯗ
awa,ꯑꯋꯥ
nonggaakhi,ꯅꯣꯡꯒꯥꯈꯤ
vichita,ꯚꯤꯆꯤꯇ
taaloibusu,ꯇꯥꯂꯣꯢꯕꯨꯨꯁꯨ
hangba,ꯍꯪꯕ
coligi,ꯀꯣꯂꯤꯒꯤ
lonyaan,ꯂꯣꯟꯌꯥꯟ
taklibani,ꯇꯥꯛꯂꯤꯕꯅꯤ
chingkhongda,ꯆꯤꯡꯈꯣꯡꯗ
kallak,ꯀꯜꯂꯛ
amakhakki,ꯑꯃꯈꯛꯀꯤ
shaabada,ꯁꯥꯕꯗ
ngari,ꯉꯥꯔꯤ
semkhiba,ꯁꯦꯝꯈꯤꯕ
silhetta,ꯁꯤꯂꯦꯠꯇ
yasinnaduna,ꯌꯥꯁꯤꯟꯅꯗꯨꯅ
neptun,ꯅꯦꯞꯇꯨꯟ
meeyaamagi,ꯃꯤꯌꯥꯃꯒꯤ
echakheina,ꯏꯆꯥꯈꯩꯅ
italyki,ꯏꯇꯥꯂꯤꯀꯤ
networkni,ꯅꯦꯠꯋꯥꯛꯅꯤ
leipaksingdasu,ꯂꯩꯄꯥꯛꯁꯤꯡꯗꯁꯨ
campaign,ꯀꯦꯝꯄꯦꯟ
thouwaa,ꯊꯧꯋꯥ
marifutaret,ꯃꯔꯤꯐꯨꯇꯔꯦꯠ
laishangni,ꯂꯥꯢꯁꯪꯅꯤ
onsillakkhi,ꯑꯣꯟꯁꯤꯜꯂꯛꯈꯤ
ghananian,ꯘꯅꯥꯅꯤꯌꯥꯟ
laiyaamgi,ꯂꯥꯢꯌꯥꯝꯒꯤ
failel,ꯐꯥꯢꯂꯦꯜ
ngaangnahouba,ꯉꯥꯡꯅꯍꯧꯕ
cheichat,ꯆꯩꯆꯠ
swedengi,ꯁ꯭꯭ꯋꯤꯗꯦꯟꯒꯤ
dewawrat,ꯗꯦꯋꯋ꯭ꯔꯠ
waakhalsina,ꯋꯥꯈꯜꯁꯤꯅ
manglabani,ꯃꯥꯡꯂꯕꯅꯤ
sovet,ꯁꯣꯚꯦꯠ
saadrisibu,ꯁꯥꯗ꯭ꯔꯤꯁꯤꯕꯨ
misaksingdi,ꯃꯤꯁꯛꯁꯤꯡꯗꯤ
wanglong,ꯋꯥꯡꯂꯣꯡ
khongnet,ꯈꯣꯡꯅꯦꯠ
thamphambu,ꯊꯝꯐꯝꯕꯨ
leilingei,ꯂꯩꯂꯤꯉꯩ
manapa,ꯃꯥꯅꯄ
yaarammi,ꯌꯥꯔꯝꯃꯤ
mailen,ꯃꯥꯢꯂꯦꯟ
nakhoibaani,ꯅꯈꯣꯢꯕꯥꯅꯤ
sangsaalon,ꯁꯪꯁꯥꯂꯣꯟ
tumaa,ꯇꯨꯃꯥ
makhaagi,ꯃꯈꯥꯒꯤ
houjikfaobagi,ꯍꯧꯖꯤꯛꯐꯥꯎꯕꯒꯤ
nongma,ꯅꯣꯡꯃ
naksata,ꯅꯛꯁꯇ
phamlonsing,ꯐꯝꯂꯣꯟꯁꯤꯡ
indrabu,ꯏꯟꯗ꯭ꯔꯕꯨ
lamna,ꯂꯝꯅ
agartalada,ꯑꯥꯒꯔꯇꯥꯂꯥꯗ
leikanglaani,ꯂꯩꯀꯪꯂꯥꯅꯤ
hoabinhian,ꯍꯣꯑꯥꯕꯤꯟꯍꯤꯌꯥꯟ
thousinggi,ꯊꯧꯁꯤꯡꯒꯤ
thoujaal,ꯊꯧꯖꯥꯜ
bholibol,ꯚꯣꯂꯤꯕꯣꯜ
yusni,ꯌꯨꯁꯅꯤ
gobin,ꯒꯣꯕꯤꯟ
punsinlagaa,ꯄꯨꯟꯁꯤꯟꯂꯒꯥ
ngamkhraba,ꯉꯝꯈ꯭ꯔꯕ
malli,ꯃꯥꯜꯂꯤ
tonganna,ꯇꯣꯉꯥꯟꯅ
ganderbal,ꯒꯥꯟꯗꯔꯕꯣꯜ
pithorakliba,ꯄꯤꯊꯣꯔꯛꯂꯤꯕ
pallakpana,ꯄꯥꯜꯂꯛꯄꯅ
khandre,ꯈꯟꯈ꯭ꯔꯦ
sangshak,ꯁꯪꯁꯛ
lousinbaduni,ꯂꯧꯁꯤꯟꯕꯗꯨꯅꯤ
chatcharaba,ꯆꯠꯆꯔꯕ
sorotkhaibam,ꯁꯣꯔꯣꯠꯈꯥꯢꯕꯝ
fisaahanba,ꯐꯤꯁꯥꯍꯟꯕ
khomjinjaba,ꯈꯣꯝꯖꯤꯟꯖꯕ
angaanghalna,ꯑꯉꯥꯡꯍꯜꯅ
hilao,ꯍꯤꯂꯥꯎ
kaoduna,ꯀꯥꯎꯗꯨꯅ
faonahanli,ꯐꯥꯎꯅꯍꯟꯂꯤ
enaba,ꯏꯅꯕ
talahumtoi,ꯇꯂꯥꯍꯨꯝꯇꯣꯢ
waarisi,ꯋꯥꯔꯤꯁꯤ
mapaani,ꯃꯄꯥꯅꯤ
tulel,ꯇꯨꯂꯦꯜ
samballei,ꯁꯝꯕꯜꯂꯩ
lonsaa,ꯂꯣꯟꯁꯥ
khunnai,ꯈꯨꯟꯅꯥꯢ
phaopa,ꯐꯥꯎꯄ
sileta,ꯁꯤꯂꯦꯇ
hastinapur,ꯍꯁꯇꯤꯅꯥꯄꯨꯔ
chaobage,ꯆꯥꯎꯕꯒꯦ
amaangataagi,ꯑꯃꯥꯡꯑꯇꯥꯒꯤ
chereigi,ꯆꯦꯔꯩꯒꯤ
munisipaal,ꯃꯨꯅꯤꯁꯤꯄꯥꯜ
ngaangleinana,ꯉꯥꯡꯂꯩꯅꯅ
tenlaba,ꯇꯦꯟꯂꯕ
heinu,ꯍꯩꯅꯨ
thapallei,ꯊꯥꯄꯜꯂꯩ
shaathup,ꯁꯥꯊꯨꯞ
leimalel,ꯂꯩꯃꯂꯦꯜ
thijinnaba,ꯊꯤꯖꯤꯟꯅꯕ
taakhanbagi,ꯇꯥꯛꯍꯟꯕꯒꯤ
kupipi,ꯀꯨꯄꯤꯄꯤ
manasingsi,ꯃꯅꯥꯁꯤꯡꯁꯤ
tillaang,ꯇꯤꯜꯂꯥꯡ
ramnagar,ꯔꯥꯃꯅꯒꯔ
penjei,ꯄꯦꯟꯖꯩ
tansing,ꯇꯥꯟꯁꯤꯡ
ayukta,ꯑꯌꯨꯛꯇ
pothaafamda,ꯄꯣꯊꯥꯐꯝꯗ
regangi,ꯔꯦꯒꯟꯒꯤ
ambalika,ꯑꯝꯕꯥꯂꯤꯀꯥ
unicode,ꯌꯨꯅꯤꯀꯣꯗ
kharaak,ꯈꯔꯥꯛ
yumlingkhibani,ꯌꯨꯝꯂꯤꯡꯈꯤꯕꯅꯤ
erammi,ꯏꯔꯝꯃꯤ
waanakhibagi,ꯌꯥꯅꯈꯤꯕꯒꯤ
laakkhibagi,ꯂꯥꯛꯈꯤꯕꯒꯤ
nongsangba,ꯅꯣꯡꯁꯥꯡꯕ
hougatli,ꯍꯧꯒꯠꯂꯤ
wikipediani,ꯋꯤꯀꯤꯄꯦꯗꯤꯌꯥꯅꯤ
wangkhatpaduna,ꯋꯥꯡꯈꯠꯄꯗꯨꯅ
ngangkhaleimana,ꯉꯥꯡꯈꯂꯩꯃꯅ
thaabadi,ꯊꯥꯕꯗꯤ
shaakhi,ꯁꯥꯈꯤ
sidoktuna,ꯁꯤꯗꯣꯛꯇꯨꯅ
leibaakchaa,ꯂꯩꯕꯥꯛꯆꯥ
paakpada,ꯄꯥꯛꯄꯗ
lengjumda,ꯂꯦꯡꯖꯨꯝꯗ
apunbaa,ꯑꯄꯨꯟꯕꯥ
laangmeidong,ꯂꯥꯡꯃꯩꯗꯣꯡ
ranggi,ꯔꯪꯒꯤ
mungyambagi,ꯃꯨꯡꯌꯥꯝꯕꯒꯤ
karzokshi,ꯀꯥꯔꯓꯣꯛꯁꯤ
kalingga,ꯀꯂꯤꯡꯒ
matamdadi,ꯃꯇꯝꯗꯗꯤ
humphutaraanipaan,ꯍꯨꯝꯐꯨꯇꯔꯥꯅꯤꯄꯥꯟ
waakching,ꯋꯥꯛꯆꯤꯡ
huinaa,ꯍꯨꯢꯅꯥ
phurupna,ꯐꯨꯔꯨꯞꯅ
yaohanduna,ꯌꯥꯎꯍꯟꯗꯨꯅ
meita,ꯃꯩꯇ
paakpa,ꯄꯥꯛꯄ
keishamthonggi,ꯀꯩꯁꯥꯝꯊꯣꯡꯒꯤ
kholiphaapa,ꯈꯣꯂꯤꯐꯥꯄ
minos,ꯃꯤꯅꯣꯁ
luchingba,ꯂꯨꯆꯤꯡꯕ
tourambagi,ꯇꯧꯔꯝꯕꯒꯤ
wangkhatna,ꯋꯥꯡꯈꯠꯅ
sorry,ꯁꯣꯔꯔꯤ
taipangpaalpu,ꯇꯥꯢꯄꯪꯄꯥꯜꯄꯨ
waangkhatna,ꯋꯥꯡꯈꯠꯅ
yaodanaba,ꯌꯥꯎꯗꯅꯕ
mayaa,ꯃꯌꯥ
nungshiba,ꯅꯨꯡꯁꯤꯕ
poseidongi,ꯄꯣꯁꯥꯢꯗꯟꯒꯤ
thaabum,ꯊꯥꯕꯨꯝ
sipai,ꯁꯤꯄꯥꯢ
kaanglongi,ꯀꯥꯡꯂꯣꯟꯒꯤ
makhol,ꯃꯈꯣꯜ
pothahourage,ꯄꯣꯊꯥꯍꯧꯔꯒꯦ
waakhok,ꯋꯥꯈꯣꯛ
thongbada,ꯊꯣꯡꯕꯗ
matangdadi,ꯃꯇꯥꯡꯗꯗꯤ
heiba,ꯍꯩꯕ
komgi,ꯀꯣꯝꯒꯤ
yaamsinggi,ꯌꯥꯝꯁꯤꯡꯒꯤ
gwined,ꯒ꯭ꯋꯤꯅꯦꯗ
ngeihaakta,ꯉꯩꯍꯥꯛꯇ
eileithyia,ꯑꯩꯂꯩꯊꯤꯌꯥ
thaasinggi,ꯊꯥꯁꯤꯡꯒꯤ
yekthoktunaa,ꯌꯦꯛꯊꯣꯛꯇꯨꯅꯥ
epemma,ꯏꯄꯦꯝꯃ
fattaba,ꯐꯠꯇꯕ
sinlangbada,ꯁꯤꯟꯂꯥꯡꯕꯗ
lallalmi,ꯂꯜꯂꯜꯃꯤ
chahichasingda,ꯆꯍꯤꯆꯥꯁꯤꯡꯗ
pukthanabaa,ꯄꯨꯛꯊꯅꯕꯥ
mayathangpu,ꯃꯌꯥꯊꯪꯄꯨ
ukhurul,ꯎꯈꯨꯔꯨꯜ
sarep,ꯁꯔꯦꯞ
singuda,ꯁꯤꯡꯎꯗ
ngouraba,ꯉꯧꯔꯕ
leihanle,ꯂꯩꯍꯟꯂꯦ
pheejol,ꯐꯤꯖꯣꯜ
washudev,ꯋꯥꯁꯨꯗꯦꯋ
yaamba,ꯌꯥꯝꯕ
panpa,ꯄꯥꯟꯄ
kaanahanba,ꯀꯥꯅꯍꯟꯕ
hegi,ꯍꯦꯒꯤ
nungleppam,ꯅꯨꯡꯂꯦꯞꯄꯝ
paringdana,ꯄꯔꯤꯡꯗꯅ
leipaakni,ꯂꯩꯄꯥꯛꯅꯤ
louu,ꯂꯧꯎ
senglaba,ꯁꯦꯡꯂꯕ
thaksikhasi,ꯊꯛꯁꯤꯈꯥꯁꯤ
thouwa,ꯊꯧꯋꯥ
yaamale,ꯌꯥꯃꯂꯦ
ruyarigi,ꯔꯨꯌꯥꯔꯤꯒꯤ
humjinbaga,ꯍꯨꯝꯖꯤꯟꯕꯒ
heipi,ꯍꯩꯄꯤ
chekshinna,ꯆꯦꯛꯁꯤꯟꯅ
luira,ꯂꯨꯢꯔꯥ
pathapsinggi,ꯄꯊꯥꯞꯁꯤꯡꯒꯤ
noudaani,ꯅꯧꯗꯥꯅꯤ
humphutaraamaapan,ꯍꯨꯝꯐꯨꯇꯔꯥꯃꯥꯄꯟ
paring,ꯄꯔꯤꯡ
researchta,ꯔꯤꯁꯔꯁꯇ
ngaaksenduna,ꯉꯥꯛꯁꯦꯟꯗꯨꯅ
chingja,ꯆꯤꯡꯖ
fahmida,ꯐꯥꯍꯃꯤꯗꯥ
phunggawarigi,ꯐꯨꯡꯒꯥꯋꯥꯔꯤꯒꯤ
khurumfam,ꯈꯨꯔꯨꯝꯐꯝ
naaral,ꯅꯥꯔꯜ
khongmoja,ꯈꯣꯡꯃꯣꯖꯥ
ahingbaa,ꯑꯍꯤꯡꯕꯥ
singbulni,ꯁꯤꯡꯕꯨꯜꯅꯤ
thaani,ꯊꯥꯅꯤ
astraios,ꯑꯁꯇ꯭ꯔꯥꯌꯣꯁ
feejol,ꯐꯤꯖꯣꯜ
wangulonbu,ꯋꯥꯡꯎꯂꯣꯟꯕꯨ
panaaki,ꯄꯅꯥꯀꯤ
facilitygi,ꯐꯦꯁꯤꯂꯤꯇꯤꯒꯤ
petpaa,ꯄꯦꯠꯄꯥ
tripurada,ꯇ꯭ꯔꯤꯄꯨꯔꯥꯗ
thongngak,ꯊꯣꯡꯉꯥꯛ
nongpan,ꯅꯣꯡꯄꯥꯟ
chatchaba,ꯆꯠꯆꯕ
khadanggi,ꯈꯗꯥꯡꯒꯤ
heikhaa,ꯍꯩꯈꯥ
mariamman,ꯃꯔꯤꯑꯝꯃꯟ
puyaagi,ꯄꯨꯌꯥꯒꯤ
singpulni,ꯁꯤꯡꯄꯨꯜꯅꯤ
thangchahanpagi,ꯊꯥꯡꯆꯍꯟꯄꯒꯤ
thumli,ꯊꯨꯝꯂꯤ
bildingsinggi,ꯕꯤꯜꯗꯤꯡꯁꯤꯡꯒꯤ
nafamdagi,ꯅꯐꯝꯗꯒꯤ
tibeto,ꯇꯤꯕꯦꯇꯣ
yumwaang,ꯌꯨꯝꯋꯥꯡ
khoirentak,ꯈꯣꯢꯔꯦꯟꯇꯥꯛ
bidur,ꯕꯤꯗꯨꯔ
changbaa,ꯆꯪꯕꯥ
emaada,ꯏꯃꯥꯗ
kou,ꯀꯧ
shaklonda,ꯁꯛꯂꯣꯟꯗ
angang,ꯑꯉꯥꯡ
kunthranipan,ꯀꯨꯟꯊ꯭ꯔꯥꯅꯤꯄꯥꯟ
shaawom,ꯁꯥꯋꯣꯝ
kabagi,ꯀꯥꯕꯒꯤ
khuyol,ꯈꯨꯌꯣꯜ
jil,ꯖꯤꯜ
selthumgi,ꯁꯦꯜꯊꯨꯝꯒꯤ
khallaki,ꯈꯜꯂꯛꯏ
mioisingna,ꯃꯤꯑꯣꯢꯁꯤꯡꯅ
subi,ꯁꯨꯕꯤ
thongaalelni,ꯊꯣꯉꯥꯂꯦꯜꯅꯤ
phaodok,ꯐꯥꯎꯗꯣꯛ
khoinou,ꯈꯣꯢꯅꯧ
gangagi,ꯒꯪꯒꯥꯒꯤ
fagatnaba,ꯐꯒꯠꯅꯕ
phampaak,ꯐꯝꯄꯥꯛ
chatnaba,ꯆꯠꯅꯕ
kaobinu,ꯀꯥꯎꯕꯤꯅꯨ
okchari,ꯑꯣꯛꯆꯔꯤ
bhrigu,ꯚ꯭ꯔꯤꯒꯨ
kaunsilsing,ꯀꯥꯎꯟꯁꯤꯜꯁꯤꯡ
apaibi,ꯑꯄꯥꯢꯕꯤ
leitreng,ꯂꯩꯇ꯭ꯔꯦꯡ
faojinpham,ꯐꯥꯎꯖꯤꯟꯐꯝ
ichou,ꯏꯆꯧ
channanapakitamak,ꯆꯟꯅꯅꯄꯀꯤꯇꯃꯛ
masaadagi,ꯃꯁꯥꯗꯒꯤ
lamdadi,ꯂꯝꯗꯗꯤ
risibu,ꯔꯤꯁꯤꯕꯨ
senapati,ꯁꯦꯅꯥꯄꯇꯤ
humjinbada,ꯍꯨꯝꯖꯤꯟꯕꯗ
thaanna,ꯊꯥꯟꯅ
samudra,ꯁꯃꯨꯗ꯭ꯔ
phagatnaba,ꯐꯥꯒꯠꯅꯕ
dysprosium,ꯗꯤꯁꯄ꯭ꯔꯣꯁꯤꯌꯝ
haarei,ꯍꯥꯔꯩ
ishingda,ꯏꯁꯤꯡꯗ
khangnari,ꯈꯪꯅꯔꯤ
paangthoki,ꯄꯥꯡꯊꯣꯛꯏ
ningkha,ꯅꯤꯡꯈꯥ
khaiduna,ꯈꯥꯢꯗꯨꯅ
khaanongpok,ꯈꯥꯅꯣꯡꯄꯣꯛ
vibhishan,ꯕꯤꯚꯤꯁꯟ
pakpadi,ꯄꯥꯛꯄꯗꯤ
khumdaariba,ꯈꯨꯝꯗꯥꯔꯤꯕ
laangpunglon,ꯂꯥꯡꯄꯨꯡꯂꯣꯟ
tibetoberman,ꯇꯤꯕꯦꯇꯣꯕꯔꯃꯟ
huduna,ꯍꯨꯗꯨꯅ
linggodbhawa,ꯂꯤꯡꯒꯣꯗꯚꯋ
paaktaknana,ꯄꯥꯛꯇꯛꯅꯅ
surakpa,ꯁꯨꯔꯛꯄ
khonthokta,ꯈꯣꯟꯊꯣꯛꯇ
