uthithanti,ଉଠିଥାଆନ୍ତି
toshamadi,ତୋଷାମଦି
khilapakareemananka,ଖିଲାପକାରୀମାନଙ୍କ
tulaithibabele,ତୁଲାଇଥିବାବେଳେ
simachal,ସୀମାଚଳ
banchantu,ବଞ୍ଚାନ୍ତୁ
hirimul,ହିରିମୂଳ
uldhar,ଉଲଧର
badalithu,ବଦଳିଠୁ
ludhianavi,ଲୁଧିଆନଭି
bhaswati,ଭାଶ୍ୱତୀ
gharepashi,ଘରେପଶି
chitraguru,ଚିତ୍ରଗୁରୁ
jorara,ଜୋରର
chalathiba,ଚାଲଥିବା
paramjit,ପରମଜିତ
magistrates,ମାଜିଷ୍ଟ୍ରେଟ୍ସ
antarjyami,ଅନ୍ତର୍ଯ୍ୟାମି
chahinthi,ଚାହିଁଥି
kauraku,କୌରକୁ
karipakaiba,କରିପକାଇବା
mirara,ମିରାର
pahanchauthiba,ପହଞ୍ଚାଉଥିବା
seemapararu,ସୀମାପାରରୁ
aapaneiba,ଆପଣେଇବ
mileki,ମିଳେକି
jalantu,ଜଳନ୍ତୁ
bishnunkutharu,ବିଷ୍ଣୁଙ୍କୁଠାରୁ
pratidhwanitwa,ପ୍ରତିଧ୍ୱନିତ୍ୱ
rekadar,ରେକଡର୍
kariparithae,କରିପାରିଥାଏ
rajadootanku,ରାଜଦୂତଙ୍କୁ
khaninigama,ଖଣିନିଗମ
asuchantu,ଆସୁଛନ୍ତୁ
bijulibala,ବିଜୁଳିବାଲା
hotspoter,ହଟସ୍ପଟର
mahamrutyunjaya,ମହାମୃତ୍ୟୁଂଜୟ
purbapranta,ପୂର୍ବପ୍ରାନ୍ତ
masabadimane,ମାସବାଦୀମାନେ
pattanga,ପଟ୍ଟାଙ୍ଗ
nirmara,ନିର୍ମାର
anemia,ଆନିମିଆ
chatuhpashwere,ଚତୁଃପାଶ୍ୱେରେ
koreaai,କୋରିଆଇ
siliva,ସିଲିଭ
baghelanka,ବଘେଲଙ୍କ
milaitha,ମିଳାଇଥା
bhalyumaku,ଭଲ୍ୟୁମକୁ
baranasire,ବାରାଣସିରେ
udhamapurare,ଉଧାମପୁରରେ
ankajaithae,ଅଙ୍କାଯାଇଥାଏ
afrac,ଆଫ୍ରାକ
basson,ବାସନ୍
tent,ଟେଣ୍ଟ
swadare,ସ୍ୱାଦରେ
bhasmibhuta,ଭସ୍ମୀଭୂତ
barahaku,ବାରାହାକୁ
bhobani,ଭୋବନି
bodhagyana,ବୋଧଜ୍ଞାନ
gruhamantralayanka,ଗୃହମନ୍ତ୍ରାଳୟଙ୍କ
phildi,ଫିଲ୍ଡି
dehureesaahi,ଦେହୁରୀସାହି
payers,ପେୟର୍ସ
gharianinku,ଘରିଆଣୀଙ୍କୁ
americaku,ଅମେରିକାକୁ
rinkee,ରିଙ୍କୀ
dushila,ଦୁଶିଳା
shibarajanka,ଶିବରାଜଙ୍କ
fazna,ଫଜନା
parimanu,ପରିମାଣୁ
khadyasebana,ଖାଦ୍ୟସେବନ
chhenapodara,ଛେନାପୋଡ଼ର
bibheeshaneswara,ବିଭୀଷଣେଶ୍ୱର
namjap,ନାମଜପ
retty,ରେଟି
tiaarigan,ତିଆରିଗାଁ
prashnapachari,ପ୍ରଶ୍ନପଚାରି
sajiparibu,ସାଜିପାରିବୁ
kounasiprakara,କୌଣସିପ୍ରକାର
haraprasadankara,ହରପ୍ରସାଦଙ୍କର
tebulati,ଟେବୁଲଟି
rbuswa,ର୍ବୁସ୍ୱ
mahakashabigyani,ମହାକାଶବିଜ୍ଞାନୀ
phalarashi,ଫଳରାଶି
birodhe,ବିରୋଧେ
corsten,କର୍ଷ୍ଟେନ
sadbhabana,ସଦ୍ଭାବନ
dustantamulaka,ଦୁଷ୍ଟାନ୍ତମୂଳକ
dharanasthaleeku,ଧାରଣାସ୍ଥଳୀକୁ
afghanistara,ଆଫଗାନିସ୍ତାର
bhiaithibaru,ଭିଆଇଥିବାରୁ
swaswata,ସ୍ୱାଶ୍ୱତ
larisa,ଲରିସା
ahamadabare,ଅହମଦାବାରେ
bahyajantunka,ବାହ୍ୟଜନ୍ତୁଙ୍କ
upasthanapa,ଉପସ୍ଥାନପା
smarane,ସ୍ମରଣେ
padabidharee,ପଦବିଧାରୀ
kendughatira,କେନ୍ଦୁଘାଟିର
arrogance,ଆରୋଗାନ୍ସ
taskforcere,ଟାସ୍କଫୋର୍ସରେ
ukenku,ଉକେଙ୍କୁ
satyanarayanan,ସତ୍ୟନାରାୟଣନ୍
anjuku,ଅଞ୍ଜୁକୁ
hannanka,ହନ୍ନାଙ୍କ
jwalamukhire,ଜ୍ୱାଳାମୁଖୀରେ
fergusson,ଫରଗୁସନ
synergy,ସିନର୍ଜି
lagipaduthile,ଲାଗିପଡୁଥିଲେ
pindhibathu,ପିନ୍ଧିବାଠୁ
yashobanti,ଯଶୋବନ୍ତି
anaesthesia,ଆନାସ୍ଥେସିଆ
tilakraj,ତିଲକରାଜ
rajkanika,ରାଜକନିକା
phulabaaneeku,ଫୁଲବାଣୀକୁ
janamorchaku,ଜନମୋର୍ଚ୍ଚାକୁ
ramachandeenkara,ରାମଚଣ୍ଡୀଙ୍କର
obayadullah,ଓବାୟଦୁଲ୍ଲା
kuhena,କୁହେନା
kandanare,କାନ୍ଦନାରେ
pacer,ପେସର
fddi,ଏଫଡିଡିଆଇ
munikhal,ମୁନିଖାଲ
brahmakumar,ବ୍ରହ୍ମାକୁମାର
siktakari,ସିକ୍ତକରି
ecological,ଇକୋଲୋଜିକାଲ
dravon,ଡ୍ରାଭୋନ୍
ginara,ଗିନାର
jeebanakatha,ଜୀବନକଥା
pandabasenanka,ପାଣ୍ଡବସେନାଙ୍କ
dinasha,ଦିନଶା
ghorai,ଘୋରାଇ
isalamapurasthita,ଇସଲାମପୁରସ୍ଥିତ
prechesta,ପ୍ରେଚେଷ୍ଟା
helep,ହେଲେପ
gudaki,ଗୁଡ଼କି
shubhadranka,ଶୁଭଦ୍ରାଙ୍କ
arrangement,ଆରେଞ୍ଜମେଣ୍ଟ୍
chunu,ଚୁନୁ
bimalanka,ବିମଳାଙ୍କ
doklam,ଡୋକ୍ଲାମ୍
tango,ଟାଙ୍ଗୋ
bisheshagyankatharu,ବିଶେଷଜ୍ଞଙ୍କଠାରୁ
somalai,ସୋମଲାଇ
nagarapalikanka,ନଗରପାଳିକାଙ୍କ
koushalanku,କୌଶଳଙ୍କୁ
gspku,ଜିଏସପିକୁ
sunauthanti,ଶୁଣାଉଥାନ୍ତି
rangabali,ରଙ୍ଗବାଲି
nasudhuriba,ନସୁଧୁରିବା
kabereenkara,କାବେରୀଙ୍କର
sugiaartonka,ସୁଗିଆର୍ତ୍ତୋଙ୍କ
bidhona,ବିଧୋନା
whatsapp,ହ୍ୱାଟ୍ସ୍ଆପ୍
hassen,ହାସେନ
anatirishiti,ଅଣତିରିଶିଟି
patrapatrimanankara,ପାତ୍ରପାତ୍ରୀମାନଙ୍କର
nucaledonia,ନ୍ୟୁକାଲେଡୋନିଆ
mukhabandhu,ମୁଖବନ୍ଧୁ
prateekaku,ପ୍ରତୀକକୁ
chhutijae,ଛୁଟିଯାଏ
kanesa,କାନେସା
kararbar,କରାରବାର
nirbasanaku,ନିର୍ବାସନକୁ
openinga,ଓପେନିଙ୍ଗ
janmatitheere,ଜନ୍ମତିଥୀରେ
parikhyathile,ପରୀକ୍ଷାଥିଲେ
kantharodha,କଂଠରୋଧ
pakajibara,ପକାଯିବାର
karajaeki,କରାଯାଏକି
ajharuddinanka,ଅଝାରୁଦ୍ଦିନଙ୍କ
gokulpur,ଗୋକୁଲପୁର
anusandhara,ଅନୁସନ୍ଧାର
daibeedurbipaaka,ଦୈବୀଦୁର୍ବିପାକ
banguriganra,ବାଙ୍ଗୁରିଗାଁର
bhms,ବିଏଚଏମଏସ୍
pilabhabe,ପିଲାଭାବେ
pahakri,ପହକ୍ରି
adhyatmikataku,ଆଧ୍ୟାତ୍ମିକତାକୁ
jutaiparunahanti,ଯୁଟାଇପାରୁନାହାନ୍ତି
ashanujayi,ଆଶାନୁଯାୟୀ
amrutapani,ଅମୃତପାଣି
nakchar,ନାକଚର
telangapenthare,ତେଲଙ୍ଗାପେଣ୍ଠରେ
saidingre,ସାଇଡ଼ିଂରେ
shukadebankara,ଶୁକଦେବଙ୍କର
panitankiru,ପାଣିଟାଙ୍କିରୁ
pyanelaru,ପ୍ୟାନେଲରୁ
bhimraj,ଭିମରାଜ
purodha,ପୁରୋଧା
rahabi,ରହବି
saptrama,ସପ୍ତ୍ରମ
nagarapalikare,ନଗରପାଳିକାରେ
lagajaipare,ଲଗାଯାଇପାରେ
heithila,ହେଇଥିଲା
aayeshnanka,ଆୟେସ୍ନାଙ୍କ
karjyasthaleeru,କାର୍ଯ୍ୟସ୍ଥଳୀରୁ
hatibhaya,ହାତୀଭୟ
kahijauchhanti,କହିଯାଉଛନ୍ତି
shilpasamrajya,ଶିଳ୍ପସାମ୍ରାଜ୍ୟ
phulamalara,ଫୁଲମାଳର
ghodauchhanti,ଘୋଡ଼ାଉଛନ୍ତି
rashmitharu,ରଶ୍ମିଠାରୁ
padijanti,ପଡିଯାଆନ୍ତି
regure,ରେଗୁରେ
gland,ଗ୍ଲାଣ୍ଡ
paribartanasheela,ପରିବର୍ତ୍ତନଶୀଳ
olhaidei,ଓହ୍ଲାଇଦେଇ
debakeenka,ଦେବକୀଙ୍କ
disbursing,ଡିସବର୍ସିଂ
galiti,ଗାଳିଟି
phandire,ଫାଣ୍ଡିରେ
phiringipatanare,ଫିରିଙ୍ଗିପାଟଣାରେ
kahuneere,କହୁଣୀରେ
pasandanathila,ପସନ୍ଦନଥିଲା
surangini,ସୁରଙ୍ଗିନୀ
rudrakhya,ରୁଦ୍ରାକ୍ଷା
baturuchhi,ବତୁରୁଛି
raoku,ରାଓକୁ
odraf,ଓଡ଼୍ରାଫ
rajithila,ରାଜିଥିଲା
habishialinka,ହବିଷିଆଳୀଙ୍କ
kamitigudikara,କମିଟିଗୁଡିକର
bandhumandali,ବନ୍ଧୁମଣ୍ଡଳୀ
marbar,ମାରବାର
baluthila,ବଳୁଥିଲା
langhipare,ଲଂଘିପାରେ
hiraku,ହୀରାକୁ
nagarjun,ନାଗାର୍ଜୁନ୍
siddhinku,ସିଦ୍ଧିଙ୍କୁ
beguniapadi,ବେଗୁନିଆପଦି
shantisnigdha,ଶାନ୍ତିସ୍ନିଗ୍ଧ
anilara,ଅନିଲର
jorikanku,ଜୋରିକାଙ୍କୁ
aiku,ଆଇକୁ
sattan,ସତ୍ତନ୍
pituchhi,ପିଟୁଛି
baligudare,ବାଲିଗୁଡ଼ାରେ
aaparadheenka,ଆପରାଧୀଙ୍କ
kinantu,କିଣନ୍ତୁ
farmara,ଫର୍ମର
kishorimane,କିଶୋରୀମାନେ
subhada,ସୁଭଦା
sloganaru,ସ୍ଲୋଗାନରୁ
saiphinku,ସୈଫିଙ୍କୁ
tirla,ତିରଲା
asambidhanika,ଅସାମ୍ବିଧାନିକ
pratibandhakajanita,ପ୍ରତିବନ୍ଧକଜନିତ
fasigaluni,ଫସିଗଲୁଣି
ursageekruta,ଉର୍ସଗୀକୃତ
purbahma,ପୂର୍ବାହ୍ମ
apierance,ଆପିଏରାନ୍ସ
miting,ମିଟିଙ୍ଗ୍
fins,ଫିନ୍ସ
gruhanirmanatharu,ଗୃହନିର୍ମାଣଠାରୁ
nidash,ନିଦାଶ
nabish,ନବିଶ
necklace,ନେକଲେସ
alek,ଆଲେକ୍
byabasahi,ବ୍ୟବସାହି
kabitatira,କବିତାଟିର
dharapadithiba,ଧରାପଡିଥିବା
pyrometer,ପାଇରୋମିଟର
padijaichhanti,ପଡ଼ିଯାଇଛନ୍ତି
khordharod,ଖୋର୍ଧାରୋଡ଼
dibyata,ଦିବ୍ୟତା
mevedara,ମେଭେଦର
shiula,ଶିଉଳା
telgate,ଟେଲଗେଟ
mugaliwakkama,ମୁଗଲିୱକ୍କମ
bolideithiba,ବୋଳିଦେଇଥିବା
commited,କମିଟେଡ୍
bajarera,ବଜାରେର
paribeshatie,ପରିବେଶଟିଏ
hasinanka,ହାସିନାଙ୍କ
darabhanga,ଦରଭଙ୍ଗା
adult,ଏଡଲ୍ଟ
pindhibajogya,ପିନ୍ଧିବାଯୋଗ୍ୟ
shahrukh,ଶାହାରୁଖ
bojhare,ବୋଝରେ
vfx,ଭିଏଫ୍ଏକ୍ସ
bipattitharu,ବିପତ୍ତିଠାରୁ
banchiparithae,ବଞ୍ଚିପାରିଥାଏ
bimbita,ବିମ୍ବିତ
rakhisarichhanti,ରଖିସାରିଛନ୍ତି
balabahapaku,ବଳବହପକୁ
ghatini,ଘଟିନି
akrantanku,ଅକ୍ରାନ୍ତଙ୍କୁ
ulafa,ଉଲଫ
chinnapa,ଚିନ୍ନପା
sunanga,ସୁନଙ୍ଗ
nibhanti,ନିଭାନ୍ତି
peetharu,ପୀଠରୁ
notification,ନୋଟିଫିକେସନ
esebionka,ଏସେବିଓଙ୍କ
ambareesh,ଅମ୍ବରୀଶ
andhadunia,ଅନ୍ଧାଦୁନିଆ
timingre,ଟାଇମିଂରେ
hadagudiku,ହାଡ଼ଗୁଡ଼ିକୁ
bigidithile,ବିଗିଡ଼ିଥିଲେ
byakulatare,ବ୍ୟାକୁଳତାରେ
ritigata,ରୀତିଗତ
asijaithanta,ଆସିଯାଇଥାନ୍ତା
hoijaithilaebong,ହୋଇଯାଇଥିଲାଏବଂ
rushinatha,ଋଷିନାଥ
kuchintadhari,କୁଚିନ୍ତାଧାରୀ
jhahada,ଝାହାଡା
gurutsahi,ଗୁରୁତ୍ସାହୀ
kurkuti,କୁରକୁଟି
suktire,ସୂକ୍ତିରେ
margadarshakanku,ମାର୍ଗଦର୍ଶକଙ୍କୁ
smitara,ସ୍ମିତର
maharasare,ମହାରାସରେ
sandhanikukur,ସନ୍ଧାନୀକୁକୁର
swakara,ସ୍ବକାର
lather,ଲାଥର୍
madhuchandrikaku,ମଧୁଚନ୍ଦ୍ରିକାକୁ
wicketkiping,ୱିକେଟକିପିଙ୍ଗ୍
budeiki,ବୁଡେଇକି
histri,ହିସ୍ଟ୍ରି
fishermance,ଫିସରମେନ୍ସ
jodiru,ଯୋଡିରୁ
superhot,ସୁପରହଟ୍
kabitarani,କବିତାରାଣୀ
infectioner,ଇନଫେକସନର
abibahi,ଅବିବାହି
conseltancy,କନସେଲଟେନ୍ସି
flame,ଫ୍ଲେମ
gachakatuthibara,ଗଛକାଟୁଥିବାର
punyapeetha,ପୁଣ୍ୟପୀଠ
alpakeita,ଅଳ୍ପକେଇଟା
sanakerakore,ସାନକେରକୋରେ
samirara,ସମିରର
suire,ସୁଇରେ
mamalakhori,ମାମଲାଖୋରୀ
swadheenamanaska,ସ୍ୱାଧୀନମନସ୍କ
srinubabu,ଶ୍ରୀନୁବାବୁ
godhoi,ଗୋଧୋଇ
bundhua,ବୁନ୍ଧୁଆ
hakaranku,ହକରଙ୍କୁ
chamakiba,ଚମକିବା
panchamarahira,ପଞ୍ଚମରାହିର
tambakur,ତମ୍ବାକୁର
hrudu,ହୃଦୁ
kesiti,କେସିଟି
uttaradei,ଉତ୍ତରଦେଇ
otamendinku,ଓଟାମେଣ୍ଡିଙ୍କୁ
khojibani,ଖୋଜିବନି
pochuchhi,ପୋଛୁଛି
dariaare,ଦରିଆରେ
karmash,କର୍ମଶ
anargharaghaba,ଅନର୍ଘରାଘବ
gandhinagararu,ଗାନ୍ଧିନଗରରୁ
plastikamukta,ପ୍ଲାଷ୍ଟିକମୁକ୍ତ
maruthibu,ମରୁଥିବୁ
bhoera,ଭୋଏର
parajitanka,ପରାଜିତଙ୍କ
trumpnkara,ଟ୍ରମ୍ପଙ୍କର
erabike,ଏରବିକେ
chorakhantanka,ଚୋରଖଣ୍ଟଙ୍କ
karasebakamane,କରସେବକମାନେ
memorandam,ମେମୋରେଣ୍ଡମ୍
bigatdin,ବିଗତଦିନ
kimire,କିମିରେ
talpadar,ତାଲପଦର
rangaveda,ରଂଗଭେଦ
thibakahichhanti,ଥିବାକହିଛନ୍ତି
ghataibara,ଘଟାଇବାର
mundeiba,ମୁଣ୍ଡେଇବ
manodi,ମାନୋଦୀ
tekabadi,ଟେକବାଡି
gokulam,ଗୋକୁଲମ
fluff,ଫ୍ଲଫ
sampradayanku,ସଂପ୍ରଦାୟଙ୍କୁ
tracepass,ଟ୍ରେସପାସ
cabler,କେବଲର
narayanatwa,ନାରାୟଣତ୍ୱ
paridei,ପାରିଦେଇ
debmandir,ଦେବମନ୍ଦିର
senagaraku,ସେନଗରକୁ
nishanara,ନିଶାନର
dekhibuni,ଦେଖିବୁନି
babusananka,ବାବୁସାନଙ୍କ
dantewadara,ଦାନ୍ତେୱାଡାର
tangamarga,ତଙ୍ଗମାର୍ଗ
baunshapadara,ବାଉଁଶପଦାର
roopeshaku,ରୂପେଶକୁ
dinapare,ଦିନପରେ
machabala,ମାଛବାଲା
anchalabaseenka,ଅଞ୍ଚଳବାସୀଙ୍କ
bhulisarithae,ଭୁଲିସାରିଥାଏ
diver,ଡାଇଭର
lubina,ଲୁବିନା
districkst,ଡିଷ୍ଟ୍ରିକ୍ସଟ
badalajaithaipare,ବଦଳାଯାଇଥାଇପାରେ
swayamsebakanku,ସ୍ୱୟଂସେବକଙ୍କୁ
kalingapadara,କଳିଙ୍ଗପଦର
kaunaselaku,କାଉନସେଲକୁ
tatanagarare,ଟାଟାନଗରରେ
jharaichi,ଝରାଇଛି
paibi,ପାଇବି
damodarapalle,ଦାମୋଦରପଲ୍ଲୀ
rohatagi,ରୋହତାଗି
phulamalaku,ଫୁଲମାଳାକୁ
baruanre,ବାରୁଆଁରେ
tangithanti,ଟାଙ୍ଗିଥାନ୍ତି
sharmankara,ଶର୍ମାଙ୍କର
sanjamapanaku,ସଂଯମପଣକୁ
phuteni,ଫୁଟେନି
tier,ଟିୟର
rajkan,ରାଜକନ୍
totapada,ତୋଟାପଡ଼ା
biomotrics,ବାୟୋମୋଟ୍ରିକ୍ସ
jananeeroopare,ଜନନୀରୂପରେ
rastraputra,ରାଷ୍ଟ୍ରପୁତ୍ର
bilore,ବିଲୋରେ
pacharichantije,ପଚାରିଛନ୍ତିଯେ
avocate,ଆଭୋକେଟ୍
kantabani,କଣ୍ଟାବଣି
mahaprasthanam,ମହାପ୍ରସ୍ଥାନମ
dukheeramanku,ଦୁଖୀରାମଙ୍କୁ
khreestiyanamanankara,ଖ୍ରୀଷ୍ଟିୟାନମାନଙ୍କର
meharamanka,ମେହରମଙ୍କ
pasiasithila,ପସିଆସିଥିଲା
sarpaghatare,ସର୍ପାଘାତରେ
mangalapain,ମଙ୍ଗଳପାଇଁ
badapurusa,ବଡପୁରୁଷ
sonamargare,ସୋନମର୍ଗରେ
karakanare,କାରକାନାରେ
shaddhalunku,ଶଦ୍ଧାଳୁଙ୍କୁ
nirmanabele,ନିର୍ମାଣବେଳେ
farasi,ଫରାସୀ
asangatiku,ଅସଙ୍ଗତିକୁ
burb,ବର୍ବ
cericulture,ସେରିକଲଚର
fatimanka,ଫାତିମାଙ୍କ
pakhapadoshi,ପାଖପଡ଼ୋଶୀ
dhadak,ଧଡକ୍
charaila,ଚରାଇଲା
chabidia,ଚାବିଦିଆ
arabika,ଆରବିକ
brabourne,ବ୍ରେବୋର୍ନ
sebikanku,ସେବିକାଙ୍କୁ
mruganabhi,ମୃଗନାଭି
karaparithila,କରପାରିଥିଲା
aguthiba,ଆଗୁଥିବା
bidhwastha,ବିଧ୍ୱସ୍ଥ
sanslistara,ସଂଶ୍ଳିଷ୍ଟର
satyena,ସତ୍ୟେନ
medinapurare,ମେଦିନପୁରରେ
telimunda,ତେଲିମୁଣ୍ଡା
jaaketare,ଜାକେଟରେ
aatula,ଆତୁଳ
peedara,ପୀଡ଼ାର
stuntmen,ଷ୍ଟଣ୍ଟମ୍ୟାନ୍
anhar,ଅନହାର
ulanghanara,ଉଲଂଘନର
bibhitsa,ବିଭିତ୍ସ
khejrolia,ଖେଜ୍ରୋଲିଆ
niyamabaliku,ନିୟମାବଳୀକୁ
hadija,ହଦିଜା
smarakeetharu,ସ୍ମାରକୀଠାରୁ
balamukundanka,ବାଳମୁକୁନ୍ଦଙ୍କ
lutein,ଲୁଟିନ
bhalibalare,ଭଲିବଲରେ
lugakacha,ଲୁଗାକଚା
kabipanara,କବିପଣର
nainthile,ନଇଁଥିଲେ
kastapatha,କଷ୍ଟପଥ
ratcliff,ରାଟକ୍ଲିଫ୍
annam,ଅନ୍ନମ
panhachijaithila,ପଂହଚିଯାଇଥିଲା
bandaku,ବାନ୍ଦାକୁ
pacharajibaru,ପଚରାଯିବାରୁ
dhumdham,ଧୁମଧାମ୍
gribhasa,ଗ୍ରୀଭସ
bergakilometer,ବର୍ଗକିଲୋମିଟର
teisingnka,ତେଇସିଂଙ୍କ
tihi,ଟିହି
koshal,କୋଶଲ୍
akalagudum,ଅକଲଗୁଡୁମ୍
karjyalayatie,କାର୍ଯ୍ୟାଳୟଟିଏ
panipagabita,ପାଣିପାଗବିତ
ilatutamishanka,ଇଲତୁତମିଶଙ୍କ
gareebalokamanankara,ଗରୀବଲୋକମାନଙ୍କର
kariparuthibaru,କରିପାରୁଥିବାରୁ
setku,ସେଟ୍କୁ
balyan,ବାଲିୟାନ
resturantre,ରେଷ୍ଟୁରାଣ୍ଟ୍ରେ
jef,ଜେଇଏଫ
pandey,ପାଣ୍ଡେୟ
serimony,ସେରିମୋନୀ
uttarayanare,ଉତ୍ତରାୟଣରେ
bathmar,ବାଥମର
uttaradhika,ଉତ୍ତରାଧିକ
backte,ବ୍ୟାକ୍ଟେ
kanaklebhare,କନକ୍ଳେଭରେ
bhelika,ଭେଳିକ
rushiputramane,ଋଷିପୁତ୍ରମାନେ
quersettin,କ୍ୱେରସେଟିନ୍
balushahi,ବାଲୁଶାହୀ
suiminga,ସୁଇମିଙ୍ଗ
toom,ଟୁମ୍
luliyankara,ଲୁଲିୟାଙ୍କର
nidarshani,ନିଦର୍ଶନୀ
khelichalichhi,ଖେଳିଚାଲିଛି
unorjita,ଉନୋର୍ଜିତ
tampercalar,ଟାମ୍ପରକେଲାର
pampiyonka,ପମ୍ପିୟୋଙ୍କ
obisiku,ଓବିସିକୁ
gadijae,ଗଡିଯାଏ
brasare,ବ୍ରସରେ
chhabinka,ଛବିଙ୍କ
sateki,ସଟେକି
baithiki,ବୈଠିକି
pateibe,ପତେଇବେ
aadishaktira,ଆଦିଶକ୍ତିର
gidhibasa,ଗିଧିବାସ
bahuchi,ବହୁଚି
indianaku,ଇଣ୍ଡିଆନକୁ
tichaka,ଟିଚକ
swatwalipire,ସ୍ୱତ୍ତ୍ୱଲିପିରେ
hingisa,ହିଙ୍ଗିସ
novotnanka,ନୋଭୋତ୍ନାଙ୍କ
rastranayakamane,ରାଷ୍ଟ୍ରନାୟକମାନେ
dutee,ଦୂତି
baishnabanku,ବୈଷ୍ଣବଙ୍କୁ
bambara,ବମ୍ବର
bhadrakanka,ଭଦ୍ରକଙ୍କ
khambare,ଖମ୍ବରେ
jillasdar,ଜିଲ୍ଲାସଦର
biswashreneeya,ବିଶ୍ୱଶ୍ରେଣୀୟ
putai,ପୁତାଇ
chandrabahu,ଚନ୍ଦ୍ରବାହୁ
hatyakarithibara,ହତ୍ୟାକରିଥିବାର
karamunku,କରମୁଙ୍କୁ
bipartira,ବିପର୍ତିର
jetikire,ଯେତିକିରେ
kehene,କେହେନେ
thanapakhyaru,ଥାନାପକ୍ଷରୁ
frankonka,ଫ୍ରାଙ୍କୋଙ୍କ
tejapuraru,ତେଜପୁରରୁ
dikhyapta,ଦୀକ୍ଷାପ୍ତ
chandrakote,ଚନ୍ଦ୍ରକୋଟ୍
gundichagharu,ଗୁଣ୍ଡିଚାଘରୁ
putrakami,ପୁତ୍ରକାମୀ
bhabinanka,ଭାବିନଙ୍କ
bronchapadaka,ବ୍ରୋଞ୍ଚପଦକ
valuesana,ଭାଲୁଏସନ
mochikuda,ମୋଚିକୁଦା
tikinanku,ଟିକିନାଙ୍କୁ
panchapancha,ପାଞ୍ଚପାଞ୍ଚ
arthadei,ଅର୍ଥଦେଇ
hirakudaru,ହିରାକୁଦରୁ
rajnantra,ରାଜନନ୍ତ୍ର
koranda,କୋରଣ୍ଡା
chandrababu,ଚନ୍ଦ୍ରବାବୁ
prushetha,ପୃଷେଠ
srimatidebi,ଶ୍ରୀମତୀଦେବୀ
mancheswarathare,ମଞ୍ଚେଶ୍ବରଠାରେ
nagabanshiya,ନାଗବଂଶୀୟ
bhalpaaa,ଭଲପାଆ
chhuanjaithila,ଛୁଆଁଯାଇଥିଲା
banayan,ବନାୟନ
pagadiku,ପଗଡ଼ିକୁ
baijunka,ବାଇଜୁଙ୍କ
heubele,ହେଉବେଳେ
rangasaida,ରଙ୍ଗସାଇଡ
khagariar,ଖଗାରିଆର
duni,ଦୁନି
karjyakarai,କାର୍ଯ୍ୟକରାଇ
sarire,ସରିରେ
diasilikathi,ଦିଆସିଲିକାଠି
aajauchhi,ଆଯାଉଛି
mochanakari,ମୋଚନକାରୀ
tutijaithiba,ତୁଟିଯାଇଥିବା
kabultharu,କାବୁଲଠାରୁ
padmaban,ପଦ୍ମବନ
loise,ଲୋଇଜ୍
kantania,କଣ୍ଟାଣିଆ
dhadare,ଧଡ଼ାରେ
lekhanti,ଲେଖନ୍ତି
barhat,ବାରହାଟ
sheetatapaniyantrita,ଶୀତତାପନିୟନ୍ତ୍ରିତ
pangama,ପାଙ୍ଗମା
mrutaparibara,ମୃତପରିବାର
panjikaranara,ପଞ୍ଜିକରଣର
rajaswamantreenka,ରାଜସ୍ବମନ୍ତ୍ରୀଙ୍କ
